CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Medall Healthcare Pvt Ltd.,https://medall.in,Medicine,"Chennai, Tamil Nadu",India,"Medall is India's leading integrated Healthcare Diagnostics and the fourth largest Diagnostics player in India. With 7000 plus customer touchpoints in 9 states and 70+ districts, 24 NABL accredited labs and 108 ISO Certified Labs, Medall provides both radiology and pathology services under one roof. Medall has served over 10 million customers and performed over 40 million tests in 2019. With a strong focus on digitisation and deployment of state of the art technology, Medall is pioneering clinical and technological innovations in Diagnostics.","1,001-5,000 employees",2024-02-28 00:00:00,,1.5 TB,"PII, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
"Keboda Technology Co., Ltd.",https://keboda.com,Software,"Shanghai, Shanghai",China,"Keboda Technology Co., Ltd., manufactures vehicle parts and accessories. The Company produces automotive electronics, automotive electric parts, engine parts, auto harnesses, and other products. Keboda Technology supplies its products in automobile making industries.",11-50 employees,2024-03-14 00:00:00,,1.2 TB,"PII, Customer and Client Data, Employee and HR data, Databases, Sensitive Communication",BianLian
"Martin's, Inc.",,,"Baltimore, MD",,"At Martins Caterers, we are dedicated to creating spectacular events that are perfect for any occasion. For more than 50 years, we have helped individuals, couples, and families throw incredible weddings, bar/bat mitzvahs, corporate events, and more. We have earned a reputation as the top catering company in the Baltimore metro area, Washington, D.C., and throughout greater Maryland and we will go above and beyond to ensure that your event is flawless!","501-1,000 employees",2024-03-04 00:00:00,,,,BianLian
Dr. Leeman ENT,https://drleeman.com,Medicine,"Austin, Texas",United States,Dr. Daniel J. Leeman is a board-certified plastic surgeon and ENT physician who offers state of the art treatment options to meet your medical needs. ,2-10 employees,2024-03-19 00:00:00,,480 GB,"PII, Employee and HR data, Databases, Sensitive Communication, Healthcare Data",BianLian
Roncelli Plastics,https://www.roncelli.com,,"Monrovia, CA",,"Roncelli Plastics has been an industry pioneer since 1969, as a thermoplastics and composites manufacturer headquartered in Monrovia, California, with offices in San Jose, California; Dallas, Texas; Tampa, Florida; Chandler, Arizona and Cincinnati, Ohio.  Trusted by the worlds most prestigious brands for our leading edge technology, innovative operations, technical expertise and knowledgeable partnership.
Roncelli Plastics is a best in class contract manufacturer of Engineered Plastics parts and components for critical applications in the Aerospace, Bio Medical, Life Science & Space, Semiconductor, Defense, Oil & Gas Sectors. 

We partner with clients from prototype design through full production.  Our complete capabilities portfolio includes rapid prototype machining, CNC machining, Injection Molding, 3D Printing and Clean Room Assembly.  

Certifications Include:
ISO9001
AS9100D
ISO13485
ISO27001
ITAR",51-200 employees,2024-02-25 00:00:00,,1.6 TB,"PII, Customer and Client Data, Employee and HR data, Sensitive Communication",BianLian
"Mayer Antonellis Jachowicz & Haranas, LLP",https://hkwg.com,Legal,"Framingham, Massachusetts",,www.hkwg.com,11-50 employees,2024-03-19 00:00:00,,170 Gb,"Customer and Client Data, Legal Documents, Sensitive Communication",BianLian
Shoma group,https://www.shomagroup.com/,,"Coral Gables, Florida",,"30+ years of history, a strong track record and, over 6 Billion dollars in real estate transactions are a good indication of a solid approach to developing residential, commercial, and mixed-use projects and exceptional communities. 
Keeping up with the latest advances ensures Shoma delivers a high level of finishes, appliances, and innovative details so owners can have the most up to date technologies, materials, and designs in their homes, offices and communities. This forward thinking allows us to best utilize new ways to design and execute on big ideas. Ultimately, improving the experience with every new project.",51-200 employees,2024-01-30 00:00:00,,2 Tb,"PII, Employee and HR data, Sensitive Communication",BianLian
Lindsay Municipal Hospital,http://lindsayhospital.com,Healthcare,"Lindsay, Oklahoma",United States,Lindsay Municipal Hospital Home,51-200 employees,2024-03-09 00:00:00,,,,BianLian
"Palmer Construction Co., Inc",https://palmerconstruction.net,,"McConnellsburg, Pennsylvania",,"As a Pennsylvania based commercial construction business, our quality workmanship has earned us a reputation as a leader in our industry. Offering a wide array of services, Palmer is able to meet any project goal, deadline and budget. Our diverse in-house staff brings years of experience to each and every project with a dedication to finding unique project solutions to fit the needs of any client. From pre-design through construction and delivery, we excel in managing all project stages. We are located in McConnellsburg, Pennsylvania but have completed projects all across PA, WV, NJ and MD, allowing us to service a vast array of clients. 

Palmer Construction is a design-build, general contractor with a 100% commitment to quality and reliability. William (Bill) L. Palmer, President, founded Palmer Construction in 1978 and has since steered the company on a successful path of growth and expansion. Over the years, dedication and commitment to client satisfaction has provided Palmer  with recurring business opportunities and lasting relationships. Today, Palmer Construction has emerged as a leader in the commercial/industrial construction industry. Our projects range from under $100,000 to more than $20 million.",11-50 employees,2024-03-07 00:00:00,,475 Gb,"PII, Employee and HR data",BianLian
RISSER OIL,http://https//risseroil.com/,Utilities,"Feather Sound, Florida",United States,Risser Oil Corporation distributes petroleum products. ,1-50 employees,2024-08-29 00:00:00,17723.0,200,['unknown'],Qilin
STILLER AESTHETICS,http://www.stilleraesthetics.com/,Healthcare,"Spokane, Washington",United States,"Stiller Aesthetics is committed to providing a safe, caring and understanding environment that promotes self-love, happiness and encourages all to embrace who they truly are.",,2024-08-29 00:00:00,17177.0,249,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
JM THOMPSON,http://https//jmthompson.com/,Construction,"Cary, North Carolina",United States,"J.M. Thompson Company is a general contracting firm specializing in commercial, industrial and institutional construction projects since 1921.  J.M. Thompson Company's philosophy of providing traditional craftsmanship in modern applications lays the foundation for excellence and ultimately?¢¬Ä¬¶ customer satisfaction.",11-50 employees,2024-08-28 00:00:00,15133.0,61,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Utility and Infrastructure Data']",Qilin
KAHLE CPA,http:// www.kahle-cpa.com,Financial Services,"Florida, United States",United States,"Kahle CPA PA offers accounting, taxation, quickbooks, retirement planning, wealth management, bank financing, and outsourced CFO services.",,2024-08-26 00:00:00,7656.0,426,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
BROOKSHIRE DENTAL - HOSPITALS & CLINICS,http://www.brookshiredental.com/,Healthcare,"Hurst, TX",United States,"Hurst Dentist - Looking for a dentist in Hurst, Texas? Comfort, convenience, and highly trained dental staff set our practice apart. Near Keller, TX.",2-10 employees,2024-08-26 00:00:00,20565.0,95,"['PII', 'Employee and HR data', 'Databases', 'Healthcare Data']",Qilin
DT-TECHNOLOGIES,http:// www.dttechnologies.eu,Manufacturing,"Meyrin,?äGeneve",Switzerland,D.T. Technologies develops and produces clamping tools and accessories for machine tool manufacturers.,1-10 employees,2024-08-25 00:00:00,21025.0,429,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
MELI (BCYF & BETHANY),http://https//www.meli.org.au/,Community Services,Geelong,Australia,"Barwon Child, Youth and Family (BCYF) and Bethany have merged. Our new name, Meli, is inspired by the word ?¢¬Ä¬òmeliorism?¢¬Ä¬ô - the belief that the world can be made better through human effort. 

Meli is a Victorian not-for-profit committed to strengthening communities through supporting people.  We offer a unique combination of services to support members of our community throughout their lifetime, from early childhood through to adolescence and adulthood.

Meli?¢¬Ä¬ôs heritage and unique combination of services allow for an insightful approach to wellbeing. Using our breadth and depth of expertise to innovate and contribute to our community through preventative, strengthening programs.

Everyone faces challenges occasionally, and Meli is here to lend compassionate help, and to take a preventative and early response approach ?¢¬Ä¬ì no matter how big or small a problem.","501-1,000 employees",2024-08-21 00:00:00,20667.0,215,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
MASON CITY RECYCLING CENTER,http://www.mcrecycling.com/,Utilities,"Mason City, Iowa",United States,"At Mason City Recycling Center, we work hard to bring you nature?¢¬Ä¬ôs best insulation resulting in a low dust product. By choosing Comfort-Zone Cellulose Insulation, you are choosing a product that is cost efficient, doesn?¢¬Ä¬ôt burn, and embodies energy!",11-50 employees,2024-08-19 00:00:00,18533.0,0,"['Financial Data', 'Legal Documents']",Qilin
AMCO METAL INDUSTRIAL CORPORATION,http://amcocorporation.com/,Manufacturing,"Mumbai,, Maharashtra -",India,"Amco Metals is a well established manufacturer, supplier & exporter of superior stainless steel forged fittings for pipe & tubes and other allied products. The company came into existence in the year 1982 and has been engaged in manufacturing of superior quality Welded Pipe Fittings, Threaded Pipe Fittings, Socket Weld Pipe Fittings and Screwed Pipe Fittings. We have been successfully catering to the challenging requirements of diverse industries. Our competent pricing strategy has been appreciated by clients and has enabled us to maintain our lead in this highly competitive market place.",11-50 employees,2024-08-16 00:00:00,20750.0,24,"['Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
HIESMAYR HAUSTECHNIK,http://www.hiesmayr.at/,Construction,Innsbrusk,"Innsbrusk, Tyrol",Hiesmayr Haustechnik GmbH is a company that operates in the Commercial & Residential Construction industry.?ä,20-49 employees,2024-08-16 00:00:00,20727.0,32,['Utility and Infrastructure Data'],Qilin
LORANSRL,http://https//www.loransrl.eu,Manufacturing,"Isola della Scala, Veneto",Italia,"We contribute towards well-being and social progress, through the conception and development of highly specialised and intuitive conditioning solutions, capable of satisfying our customers' requirements, fully respecting people and the environment.",51-200 employees,2024-08-15 00:00:00,20845.0,24,['Customer and Client Data'],Qilin
WWW.PRINSOTEL.COM,http://www.prinsotel.com/,Hospitality,"Palma, Balearic Islands",Spain,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.",201-500 employees,2024-08-15 00:00:00,20564.0,17,['Customer and Client Data'],Qilin
HAWITA-GRUPPE,http://https//hawita.de,Hospitality,"Vechta , Vechta",Germany,Hawita Gruppe GmbH is a company that operates in the Fitness & Dance Facilities industry. It employs 250to499 people and has 50Mto100M of revenue,201-500 employees,2024-08-15 00:00:00,18345.0,367,['Databases'],Qilin
IEMSC.COM,http://https//iemsc.com,Construction,Dubai,UAE,"International Electromechanical Services Co. L.L.C. (IEMSC) is a pioneer M.E.P. (MECHANICAL, ELECTRICAL & PLUMBING) Contracting Company with an ISO-9001-2000 certification. The company was founded in the year 1968 and is registered under the Dubai Commercial License No 224454 and its Headquarters are located at Zabeel First, Al Nakheel Building, 3rd Floor 301 and 302 with Branch Office in Abu Dhabi","501-1,000 employees",2024-08-15 00:00:00,14940.0,152,['Databases'],Qilin
KINEMATICA.CH,http://www.kinematica.ch/,Manufacturing,"Malters, Luzern",Switzerland,"From our inception in 1962, innovation has been the driving force behind Kinematica's remarkable journey. Our roots trace back to the visionary mind of Professor Willems, whose groundbreaking rotor/stator invention revolutionized the industry. Since then, Kinematica has elevated this technique to new heights, crafting tailored and engineered solutions that cater to the most intricate demands of various applications.

Our dedication to pushing the boundaries of technology remains unshaken, resulting in the establishment of a de facto standard across multiple industries. Today, our products serve as the cornerstone of quality and performance, benefiting thousands of end users across the globe.  At Kinematica, we are guided by the mantra of ""Homogenizing Perfected."" This core principle fuels our every endeavor as we continually refine our ideas to match evolving industry landscapes. As we step into the future, our focus expands beyond boundaries, embracing the seamless integration of technologies in a ""connected world."" In this realm, we stand unwavering in our commitment to delivering uncompromised quality and performance, a promise we hold sacred to our customers.

We invite you to join us on this exhilarating journey of innovation and excellence. Together, we will create a future filled with mutual success, where the spirit of unwavering commitment binds us in our pursuit of perfection.
Stay tuned as we continue to shape the course of industries, redefine possibilities, and create a brighter tomorrow.",11-50 employees,2024-08-15 00:00:00,13893.0,2,['Intellectual Property'],Qilin
BRIGHTWIRES.COM.SA,http://www.brightwires.com.sa/,International Trade and Development,"Riyadh, Riyadh",Saudi Arabia,"Over 30 years ago, Bright wires was founded in 1989, it has grown up from providing simple business Electrical & Power systems, to offering value-driven Telecommunication and Electrical products and services, It provides wide range of managed services including Fiber Optic Splicing and Testing .From a Data Patch Cord to the Design & Installation of an entire Telecommunication & Electrical Solutions and Network infrastructure cabling.",51-200 employees,2024-08-15 00:00:00,13650.0,43,"['Financial Data', 'Utility and Infrastructure Data']",Qilin
PATTERSON HEALTH CENTER,http://https//pattersonhc.org/,Healthcare,"Anthony, ks",United States,PATTERSON HEALTH CENTER INC is a hospital & health care company based out of Harper County KS,51-200 employees,2024-08-14 00:00:00,13734.0,270,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Healthcare Data']",Qilin
CODACINC.ORG,http://www.codacinc.org/,Healthcare,"Cranston, RI",United States,"CODAC, a non-profit organization based in Rhode Island, has provided treatment, recovery and prevention services to individuals, families and communities for over 40 years.  With seven convenient locations, CODAC is uniquely positioned to provide a wide range of outpatient recovery, treatment and prevention services to adolescents and adults struggling with the challenges of substance abuse, gambling disorders, tobacco use, behavioral healthcare issues, and other addictive or abusive behaviors.",201-500 employees,2024-08-07 00:00:00,8621.0,9,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
WWW.SRMEDICALCENTER.ORG,http://www.srmedicalcenter.org/,Healthcare,"St Thomas, US Virgin Islands",United States,"Schneider Regional Medical Center includes the Roy Lester Schneider Hospital, Myrah Keating Smith Community Health Center, and the Charlotte Kimelman Cancer Institute function as one integrated health system dedicated to providing comprehensive and high-quality care to the residents of the Virgin Islands and visitors of all ages, faiths, and races.",201-500 employees,2024-07-30 00:00:00,1322.0,293,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Healthcare Data']",Qilin
"NEW TSI HOLDINGS, NYSC",http:// www.newyorksportsclubs.com,Fitness Services,"NY, New York",United States,"A key player in the fitness and exercise space throughout the United States. We operate over 65 clubs in 7 states (+ 3 locations in Switzerland) and service almost 300,000 members who come to us to meet their fitness goals. Those members know us as New York Sports Clubs, Boston Sports Clubs, Philadelphia Sports Clubs, Washington Sports Clubs, Lucille Roberts, and Around the Clock Fitness.

We are constantly refreshing our initiatives and programs  to ensure we provide the best fitness and gym experience for every individual who step foot inside our clubs. This includes experimenting with innovative studio-quality programming, developing high intensity small group training classes, partnering with the new athletic-based groups to offer practical sports interval training and investing in our fitness equipment for those seeking cardio and strength training experiences.  We also offer group exercise programs, racquet sports, swimming facilities and Sports Club for Kids. 

Our passion is to not only deliver an exceptional experience to enable our members to achieve their goals but to our team as well. We are always interested to expand so we can build a stronger town. This is our Town and we would love for you to be a part of it.","1,001-5,000 employees",2024-07-29 00:00:00,4440.0,168,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
CCJ.EDU.LB,http://www.ccj.edu.lb/,Education ,Juniyah,Lebanon,School,"501-1,000 employees",2024-07-28 00:00:00,6140.0,8,"['Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
NETWORK COMMUNICATIONS GROUP,http://www.netcomms.co.uk/,Telecommunications,"Longview, TX",United States,"Fast ?¢¬Ä¬¢ Reliable ?¢¬Ä¬¢ Innovative These words aptly describe Network Communications?¢¬Ä¬ô leading edge voice, data and networking services, but they also represent the foundation of our company, from the high level of our local customer service and technical expertise to the honesty and integrity of our sales consultants, staff and leadership. It is our goal to earn your trust and to meet or exceed your expectations in every way, from first contact and beyond.

Network Communications has spent decades developing, building and expanding our network and services to better serve your needs at the most cost-effective rates possible. We are also committed to investing in the best people, advanced infrastructure and advanced technology, and since we are self-funded, we have the freedom to do what?¢¬Ä¬ôs best for our customers rather than what?¢¬Ä¬ôs best for an investment banking firm.

At Network Communications, we remain firmly grounded in the same values we started our company with nearly 30 years ago, and in the next 30 years, you can count on us to continue to deliver uncompromising service at the speed of light.

 ",51-200 employees,2024-07-27 00:00:00,16577.0,210,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
AYURCAN,http:// www.ayurcann.com,Healthcare,"Pickering, ON",Canada,"The public company for a Canadian LP providing superior production services in Extraction, Processing, Packaging and Distribution. We have the agility, innovation and competitiveness to build lasting relationships with industry partners and consumers.
https://linktr.ee/Ayurcann",11-50 employees,2024-07-26 00:00:00,18420.0,5,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
SIMPLE-SOLUTION-SYSTEMS,http://www.simsys.sg/,IT Services a,"Singapore, Singapore",Singapore,"Simple Solution Systems or SIMSYS as we call ourselves is a Digital Transformation Solution Provider seeking to find new and innovative solutions to digitally transform our client to success in the online generation. We specialize in User Experience Design consultancy, Enterprise Application Solutions and Mobile Application Development for Small Businesses to Enterprise Corporation that are deployed in N-Tier Architecture Environments.

Today?¢¬Ä¬ôs IT solutions are not only complex and far from user friendly, they are generally created with the principle of the user needing to know the system, rather than the system being tailored to the user. Design refers to how an IT solution is laid out in a usable and friendly way. It is important to recognize how users navigate through applications so as to tune to the user experience. 

Many of today?¢¬Ä¬ôs IT solutions are designed in a System-Centric fashion whereby developed systems require the users to understand proprietary complexities, rather than being based on User-Centric designs. We strongly believe that an IT solution?¢¬Ä¬ôs success hinges on your ability to use it ?¢¬Ä¬ì a system?¢¬Ä¬ôs design must understand the requirements of users.

The ?¢¬Ä¬úvalue add?¢¬Ä¬ù in choosing SIMSYS is the rich experience in delivering on time quality Internet Projects to our clients. SIMSYS has designed, developed and delivered over 100 projects ranging from Technically Complex Solutions with Interfaces to a wide range of systems (Government and Private Sector), to Content and Document Intense Projects (with over 2500 web pages and millions of documents), using our Enterprise Web Content Management Systems, Document Management Systems and Enterprise Resource Management Solutions along with Mobile Solutions.  ",11-50 employees,2024-07-24 00:00:00,19433.0,1590,"['Customer and Client Data', 'Databases']",Qilin
NEXT STEP HEALTHCAR,http://www.nextstephc.com/,Healthcare,"Woburn, Massachusetts",United States,"Next Step Healthcare provides nursing and rehab facilities in Massachusetts for families and individuals who need short or long term options in the face of a variety of health challenges.

We operate 16 locations with integrity, consistency, and the complete understanding that your loved one is depending on us for their care.

A personalized, authentic and worry-free solution in an era of overwhelming options.  

Welcome to the next step in - your heathcare, your career and where you call home.","1,001-5,000 employees",2024-07-24 00:00:00,19465.0,96,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Healthcare Data']",Qilin
EHS PARTNERSHIPS,http://www.ehsp.com/,Business Services,"Calgary, Alberta",Canada,"Environmental and Occupational Health and Safety, Industrial Hygiene, Project Management, Asbestos, Mould, IAQ, Auditing, Machine Guarding - Calgary, Edmonton, Winnipeg, Ottawa",11-50 employees,2024-07-23 00:00:00,17904.0,51,['Customer and Client Data'],Qilin
ON365.CO.UK,http:// www.on365.co.uk,IT Services ,"Loughborough, Leicestershire",United Kingdom,"on365 is a specialist provider of critical physical IT infrastructure and utility services for public sector, SME and corporate clients across the UK and Europe. on365 is a leading authorised Schneider Electric partner in the UK with the highest partner accreditations available.

We're Schneider Electric's biggest service partner with the highest partner accreditations for their products, solutions and services providing full quality assurance for your entire infrastructure.

on365 is totally focused on performance optimisation of the IT environment, providing critical power and cooling services not just for the datacentre but the entire critical physical infrastructure lifecycle of your business.

At on365 we understand the real needs of IT Managers and the true criticality of your IT, networking and communications deliverables as well as operational expectations. We can provide sound, practical advice to help you proactively and efficiently manage across the physical infrastructure right through to chosen IT hardware.",11-50 employees,2024-07-18 00:00:00,3160.0,20,"['PII', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,Education ,Uherske Hradiste,Czech Republic,"We opened the first class with Montessori pedagogy at Za Alej¬í Elementary School in 2013, when 16 first-graders started. Since then, the number of children, classrooms and the collective of teaching staff have grown. In the 2023/2024 school year, 100 children attend the classes, who work with 5 teachers and 3 teaching assistants. You can follow the events in the individual classes on the pages of the MA, MB, MC, MD and ME classes.",,2024-07-17 00:00:00,21260.0,197,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Databases']",Qilin
PREFEITURA DO JABOAT?É¬ÉO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,Utilities,"Jaboat?É¬£o dos Guararapes, Pernambuco",Brasil,"Jaboat?É¬£o dos Guararapes ?É¬© um munic?É¬?pio brasileiro do estado de Pernambuco, Regi?É¬£o Nordeste do pa?É¬?s. Est?É¬° localizado na Regi?É¬£o Metropolitana do Recife, situando-se a sul da capital do estado, da qual dista cerca de 18 km. Ocupa uma ?É¬°rea de 258,7 km?Ç¬?, estando 23,6 km?Ç¬? formando o per?É¬?metro urbano e os 233,7 km?Ç¬? restantes formando a zona rural do munic?É¬?pio. Segundo estimativa do Instituto Brasileiro de Geografia e Estat?É¬?stica (IBGE), em 2018 sua popula?É¬ß?É¬£o era de 697 636 habitantes, sendo, desta forma, o segundo munic?É¬?pio mais populoso do estado,al?É¬©m disso, a cidade ?É¬© o maior munic?É¬?pio sem ser capital no norte-nordeste, sendo tamb?É¬©m, maior fora do eixo Rio-S?É¬£o Paulo. (Fonte: Wikip?É¬©dia)","10,001+ employees",2024-07-16 00:00:00,3049.0,1380,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
KMLG,http://www.kmlg.com/,Manufacturing,"Rawalpindi, Punjab",India,"Welcome to Kohinoor Textile Mills Limited (KTML), where tradition meets innovation to shape the future of textiles in Pakistan and beyond. Since our inception in 1953, KTML has been at the forefront of the industry, pioneering new standards of excellence and sustainability. It is also listed on all three national stock exchanges of Pakistan.

From our roots as a spinning and weaving project with 25,000 spindles and 600 looms, KTML has evolved into a fully integrated textile powerhouse, with state-of-the-art capabilities spanning spinning, weaving, dyeing, printing, and stitching; enabling us to produce a wide range of products, including yarn, greige fabric, dyed and printed fabric, and home textile products such as bed linen, quilting, embroidery, and curtains. Our commitment to quality and innovation has enabled us to build a diverse customer base, serving both local and international markets across Asia, Europe, the USA, and Australia.

The Kohinoor Maple Leaf Group (KMLG) was formed following the division of the Saigol Group of Companies and has grown to be a prominent player in Pakistan's textile and cement industries. KMLG includes Kohinoor Textile Mills Limited (KTML),  Maple Leaf Cement Factory Limited (MLCF), and Maple Leaf Capital.

At KTML, we believe in fostering a culture of continuous learning and development, empowering our employees to realize their full potential and drive innovation across our operations. With a focus on environmental stewardship, community engagement, and ethical business practices, we are dedicated to creating value for all our stakeholders while shaping a brighter, more sustainable future for generations to come. 

Kohinoor Textile Mills Limited is dedicatedly committed to upholding the highest standards of excellence, innovation, and corporate responsibility, we invite you to join us on LinkedIn as we continue our journey towards a future shaped by innovation, sustainability, and enduring success.","5,001-10,000 employees",2024-07-15 00:00:00,15729.0,145,"['Financial Data', 'PII', 'Employee and HR data', 'Databases']",Qilin
EPS.RS,http://www.eps.rs/, Utilities,"Makenzijeva, Belgrade",Serbia,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",10000,2024-07-05 00:00:00,23070.0,212,"['Customer and Client Data', 'Databases', 'Utility and Infrastructure Data']",Qilin
EASCHANGESYSTEMS,http://www.easchangesystems.com/,Manufacturing,Renswoude,Nederland,"We help you produce just-in-time with higher speed and more flexibility. 
Thanks to EAS change systems, the clamping and release of molds and dies is done in minutes instead of hours. Our high quality mono- and multi couplers serve a diversity of branches.

EAS offers quick clamping and quick changing systems for plastic injection molding machines (QMC) and metal stamping presses (QDC), as well as multi coupler solutions. The company also offers consulting and engineering expertise to ensure maximum machine productivity. 
Designed and built for integration into existing as well as new equipment (OEM), our solutions include:
?¢¬Ä¬¢ Adaptive clamping systems
?¢¬Ä¬¢ Ejector couplers
?¢¬Ä¬¢ Mono & multi coupler systems
?¢¬Ä¬¢ Mold change tables & transportation vehicles
?¢¬Ä¬¢ Inspection & mold tilting units
?¢¬Ä¬¢ Die lifters
?¢¬Ä¬¢ Pre-rollers
?¢¬Ä¬¢ Project management
?¢¬Ä¬¢ Application engineering
?¢¬Ä¬¢ System installation
?¢¬Ä¬¢ Service and maintenance
?¢¬Ä¬¢ ROI calculations
 
The system solutions of EAS are sold directly to original equipment manufacturers (OEMs), specialized tool distributors, and end users. 

Our manufacturing, engineering and research & development operations are located in the Netherlands, France and China. Being a truly global enterprise, the company has a large sales and service presence on every continent thanks to dedicated partner companies and their local distributors.",51-200 employees,2024-07-05 00:00:00,22688.0,331,"['Legal Documents', 'Databases']",Qilin
THE WACKS LAW GROUP,"http://www,wackslaw.net/",Legal Services,New York,United States,The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients?ï issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York.?ä,,2024-07-05 00:00:00,22832.0,17,"['Customer and Client Data', 'Databases']",Qilin
MACCARINELLI.IT,http://www.maccarinelli.it/,Manufacturing,"Paitone, Lombardy",Italy,Maccarinelli Srl is a company that operates in the Motor Vehicles industry.,,2024-07-05 00:00:00,22249.0,33,"['Financial Data', 'Employee and HR data', 'Utility and Infrastructure Data']",Qilin
CASA SANTIVERI,http://www.santiveri.com/,Fitness Services,Barcelona,Spain,"En Santiveri llevamos desde 1885 apostando por promover una sociedad donde las personas se sientan mejor. Estos m?É¬°s de 135 a?É¬±os de experiencia nos han ayudado a ofrecer soluciones saludables e innovadoras al alcance de todos.

En estos a?É¬±os han cambiado muchas cosas, pero hay una que se mantiene: queremos ayudarte a que te sientas bien. Fieles a nuestro esp?É¬?ritu pionero, nos hemos renovado y adaptado para acercarnos todav?É¬?a m?É¬°s a ti y a tus necesidades.

Y lo hemos hecho con valent?É¬?a, reinvent?É¬°ndonos siempre que ha sido necesario; con compromiso, seleccionando ingredientes y materias primas de la mejor calidad; con cuidado, sensibles a la diversidad de cualquier tipo; y con una visi?É¬?n hol?É¬?stica, promoviendo un bienestar integral y una manera m?É¬°s sana de vivir.

En la actualidad, Santiveri  tiene:
?¢¬ó¬è 3 centros de producci?É¬?n: Barcelona, L?É¬©rida y Pe?É¬±afiel (Valladolid).
?¢¬ó¬è 141 puntos de venta directos
?¢¬ó¬è Una distribuci?É¬?n que llega a unos 7.000 puntos de venta ( 5.700  directos y 1.300 puntos de venta que servimos directamente a plataforma de distribuci?É¬?n a supermercados)
?¢¬ó¬è Una lista de productos cercana a las 1.000 referencias 
?¢¬ó¬è Dos filiales en Italia y M?É¬©xico 
?¢¬ó¬è Una exportaci?É¬?n que alcanza a m?É¬°s de 40 pa?É¬?ses.
?¢¬ó¬è Una plantilla cercana a los 400 empleados.",201-500 employees,2024-07-05 00:00:00,21894.0,204,['Employee and HR data'],Qilin
ETATEAM.BE,http://www.etateam.be/,Financial Services,Brussels,Belgium,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,,2024-07-05 00:00:00,21238.0,15,"['Employee and HR data', 'Legal Documents']",Qilin
