Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
Patelco Credit Union,"We believe people come first. 
As a not-for-profit credit union, we were founded to serve the financial interests of people in our communities. Our members entrust us with their financial health, and we don’t take that role lightly. From our team members in 37 branches, to those who answer member questions on the phone, to those who work behind the scenes to support our products and services, we are One Patelco team.","Dublin, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epatelco%2Eorg&urlhash=BaQp&trk=about_website,Banking,"501-1,000 employees","Home and Auto Loans, Checking and Savings Accounts, Personal Loans and Credit Cards, Online, Mobile and Text Banking, Investments, Advice, and Insurance, Credit Union at Work Program (For Employers)., credit union, and Financial Literacy",Nonprofit,"11,585"
"A&A Consultants, Inc.","About A&A Consultants 
A&A provides comprehensive engineering services to private firms, governmental agencies and large corporations.  We provide our clients with quality engineering services on schedule and within budget.  A&A was founded in 1996, and is D.B.E. certified through the PA Unified Certification Program which includes the state of Pennsylvania, Allegheny County, the Pennsylvania Department of Transportation (PennDOT), and the Port Authority of Allegheny County. A&A is also certified D.B.E. by the PA Department of General Services.

Our commitment to quality and meticulous attention to detail results in safe and cost-effective design.  We employ highly qualified engineers, geologists and technicians with solid academic foundations and outstanding professional experience. The engineering disciplines we specialize in are structural, geotechnical, environmental and civil.  The specific services we provide include, but are not limited to the following: structural design of buildings and bridges, geotechnical investigations and foundation design, land development design including all utilities, traffic control and detour planning, Pennsylvania Department of Environmental Protection (DEP) permitting, construction management, transportation construction inspection, laboratory testing and inspection, environmental assessment and control, and sanitary facilities design.","Pittsburgh, PA",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eaaconsultinc%2Ecom&urlhash=r71g&trk=about_website,Civil Engineering,11-50 employees,"Structural, Civil & Geotechnical Engineering, Bridge Inspection, Construction Inspection & Management, and Construction Material Testing",Public Company,815
"Goldman & Peterson, PLLC","Goldman & Peterson PLLC is an insurance defense firm that specializes in defending personal injury matters, commercial/tractor trailer accidents, first party uninsured/underinsured motorist claims, as well as handling coverage opinions.","San Antonio, Texas",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fljglaw%2Ecom&urlhash=mHqN&trk=about_website,Law Practice,11-50 employees,null,Privately Held,61
"Atwood & Cherny, P.C.","Atwood & Cherny, P.C. offers an array of services in the area of family law and divorce in addition to litigation, appellate work and mediation. Many of our attorneys are trained in Alternative Dispute Resolution and serve as Court Appointed Masters, Conciliators and Guardian Ad Litems.  Divorces involving high net worth and substantial assets require careful planning.  Let the respected attorneys of Atwood & Cherny guide you through this process.","Boston, Massachusetts",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eatwoodcherny%2Ecom%2F&urlhash=2dBn&trk=about_website,Legal Services,11-50 employees,null,Privately Held,164
ISNART,"ISNART - Istituto Nazionale Ricerche Turistiche - Società Consortile per Azioni ""in house"" al sistema camerale, realizza studi e pubblicazioni sul turismo, indagini, rilevazioni e progetti di fattibilità, elaborazione dati, costituzione e forniture di banche dati ed Osservatori, svolgimento di attività editoriali e di promozione e diffusione con ogni mezzo dei propri servizi, organizzazione di convegni, seminari e dibattiti in ambito turistico.

Partner strategico di amministrazioni pubbliche, la nostra mission è quella di porci come punto di riferimento qualificato per l’osservazione e lo studio dei fenomeni turistici e per accompagnare la qualificazione e lo sviluppo delle imprese dell’intera filiera turistica italiana.

Per questo, da oltre 20 anni, in ISNART, realizziamo:
- osservatori e indagini che contribuiscono a monitorare e prevedere l’andamento dell’offerta turistica del nostro Paese, anche attraverso l’utilizzo di Big Data e Open Data messi a disposizione della Pubblica Amministrazione, fornendo ai decision maker istituzionali le necessarie basi documentali per l’analisi e l’interpretazione del mercato turistico nazionale;
- percorsi di accompagnamento per l’accrescimento della cultura d’impresa delle imprese turistiche, anche attraverso specifica progettualità e percorsi di certificazione perché possano migliorare la propria offerta e la conseguente capacità competitiva.

Partecipiamo, inoltre, a programmi comunitari per il turismo sostenibile, aderendo alla rete europea Necstour in qualità di partner ufficiale e partecipando ai Forum promossi dalla DG Grow - Unità turismo della Commissione Europea.

Da oltre 25 anni, affianchiamo Unioncamere, le Camere di Commercio e loro Unioni Regionali per sviluppare progetti, in partnership con le associazioni di categoria, finalizzati a ridurre le disomogeneità che tutt’oggi caratterizzano l’offerta turistica italiana e per favorire l'integrazione super ed interregionale dei singoli prodotti turistici.","Roma, Lazio",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eisnart%2Eit&urlhash=zzqn&trk=about_website,Government Relations,11-50 employees,"Turismo, Cultura, Ricettività, Ospitalità, Ristorazione, Certificazione di Qualità, Big Data, Analisi dell'economia del turismo, and Qualificazione imprese e territori",Privately Held,"4,372"
Powiatowy Urząd Pracy w Policach,"#Zatrudnienie bez trudu, #Rekrutacja pracowników, #Wsparcie dla przedsiębiorców","Police, Zachodniopomorskie",Polska,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epolice%2Epraca%2Egov%2Epl&urlhash=ust4&trk=about_website,Civic and Social Organizations,11-50 employees,null,Government Agency,22
Bedford City Schools,null,"Bedford, Ohio",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fbedford%2Ek12%2Eoh%2Eus&urlhash=XiqH&trk=about_website,Primary and Secondary Education,2-10 employees,null,null,46
We Level Up,"We Level Up was created to drive a moment of change. It is a lifestyle with the purpose to live in empowering beliefs through connection, authenticity, self-love, emotional integrity, and service to others. 

Through this WLU offers personal development events, coaching, and dual diagnosis drug and alcohol treatment plus primary inpatient mental health programs. 

Our vision is to help create legions of self-empowered individuals who are completely in control of their lives and destinies, enabling them to get what they desire from this life, experiencing it to their fullest, most liberating potential. Through these hosts of self-empowered, and self-aware individuals, we will see families that communicate with more love, trust, and caring for one another, businesses that thrive in ways never before thought possible, and friendships that reach new heights. 

We Level Up produces a liberation from the mental chains that bind us, and enable us to operate at our fullest capacity. Have you ever wondered why you’re always living the same patterns over and over, end up feeling like a victim, or making the same choices that always lead to stress, anguish, and inevitable upset? We Level up offers not an answer, but a solution to these grave dilemmas that face us on a daily basis.","Deerfield Beach, Florida",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewelevelup%2Ecom&urlhash=7Y4X&trk=about_website,Wellness and Fitness Services,51-200 employees,"Drug and Alcohol Treatment, Personal Development, Coaching, Family Therapy, Addiction Therapy, Life Coaching, Business Coaching, Mental Health Center, and Dual Diagnosis Center",Partnership,"1,010"
Natural Curiosities,"Natural Curiosities is an American Art House based in California and has been in business for over 20 years. 

We are a complete Art experience supplying Printed, Handmade and Fine Art through NC and our affiliate brands, Arte Maison and The Curio Gallery.

Our objective is to be a one-stop Art experience that covers all the needs of any project, whether it is a price conscious budget all the way to a one-of-a-kind Fine Art installation.

Our clients include the global interior design community, hospitality and commercial projects worldwide, private label collections for box stores and custom specific projects.

Based on our domestic production we offer customization on all our collections and provide a customer service experience using our in house Art Consultants.

For any inquires please contact: info@naturalcurisoties.com ","Chatsworth, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enaturalcuriosities%2Ecom&urlhash=7l_U&trk=about_website,Design Services,11-50 employees,"always putting creativity first, Gold and Silver Hand Leafing, Art Customization, Handmade Papers, Wood Frames, Acrylic Frames, Giclée Prints, Hospitality Projects, Commercial Projects, Private Label Collections, Customer Service, Objet Art, Dimensional Art, Feathers, Gilded Art, Prints, Silkscreen, Textiles, Revamping Vintage to Modern, Customer Service, Unframed Ready To Ship Prints, Nature Art, Fine & Luxurious Art, Framing Options, Abstract Art, Contemporary Art, and Design",Privately Held,160
Jefferson County Clerk's Office,"The Jefferson County Clerk’s Office is a State Constitutional office with varied duties governed by the Kentucky Revised Statutes. Our office is responsible for public documents and information recorded, indexed and filed within Jefferson County.

The Jefferson County Clerk, Bobbie Holsclaw, serves as the Chairwoman of the Jefferson County Board of Elections and plays a key role in the conduct of elections. All petitions for candidates for elective county offices are filed with the County Clerk and drawing for ballot positions is conducted by the Clerk. She is responsible for printing ballots, canvassing the votes at Primary and General Elections; and, along with other Jefferson County Board of Election board members, certifies Election Day votes to the Secretary of State of the Commonwealth of Kentucky.","Louisville, Kentucky",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ejeffersoncountyclerk%2Eorg&urlhash=_S7d&trk=about_website,Government Administration,201-500 employees,null,Government Agency,76
Jo Burrell,null,null,null,null,null,null,null,null,306
LMGROUP,"LMGROUP, was born as a company dedicated to the service and development of equipment for industrial automation, providing technical and innovative solutions and growth to its activity and modernization. We stand out for the high quality and recognition of our products, for the constancy in innovative research and for the efficient after-sales service. Our services range from the design and planning of the solution to after-sales service and re-engineering, which we develop together with the customer.","Toledo, Castilla-La Mancha",España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elmgroup-es%2Ecom&urlhash=Kyvi&trk=about_website,Automation Machinery Manufacturing,51-200 employees,"Automatización industrial, Robótica, and logística",Self-Owned,"2,744"
Kempe Engineering Australia,"Kempe is a leading world class specialist engineering company providing maintenance, modernisation and process equipment products and services. Our purpose is to work in long term relationships to develop and add value to our clients’ capital assets in a flexible and collaborative manner. We provide custom designed engineering solutions to suit your specific needs supported by our in-house global delivery model which includes emerging market sourcing.
 
We strive for excellence by focusing on the following client outcomes:

Zero harm safety 
Aligning with your vision, mission and values 
Reducing whole of life costs 
Delivering ongoing constant improvement outcomes 
Providing state of the art technology 
Delivering Projects / Services on time, to cost and to specification safely 
 
Our core group service offerings include:

Site Maintenance including Specialist Services 
Shutdowns 
Products, Materials & Spares 
Workshop Services 
Engineering & Technical Services 
Technology & Projects ","Geelong, Victoria",Australia,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ekempe%2Ecom%2Eau%2F&urlhash=u3tJ&trk=about_website,Industrial Machinery Manufacturing,201-500 employees,null,Privately Held,"1,714"
"Dynasty Healthcare Group, LLC","Dynasty Healthcare Group is a healthcare services company that operates skilled nursing communities that operate in a wide range of services. Our services include physical, occupational, and speech therapy. We provide specialized care for diabetes, stroke, and Alzheimer's, among other medical conditions as well.
Our residents will have the option of living in assisted living communities, independent senior apartments, or short-term care facilities. These options allow our facilities to meet a variety of needs. Our fundamental guiding principles include commitment to integrity and excellence.
Dynasty Healthcare Group seeks to enhance the quality of life for our residents and promote the highest level of vitality for them. Our residents experience a warm, caring environment with pleasant surroundings to ensure  comfort. Our staff encourage a climate of respect, honesty, teamwork and open communication to guarantee we are the preferred community provider.","Lafayette, Louisiana",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Edhcgrp%2Ecom%2F&urlhash=0mMa&trk=about_website,Hospitals and Health Care,"501-1,000 employees",null,Partnership,86
Millinocket Regional Hospital,"Millinocket Regional Hospital (MRH) is a 25 bed Critical Access Hospital located in the heart of the Katahdin Region in Millinocket, Maine; featuring a strong cohesive medical staff of Family Practice, General Surgery, Internal Medicine, Nurse Practitioners, Orthopedics, Pediatrics and Physician Assistants in full-time practices.  Our wide range of comprehensive services include modern Diagnostic Imaging and in-house Laboratory Services to Healthcare Education and Physical, Occupational and Speech Therapies.  Visiting consultants specializing in Cardiology, E.N.T., Oncology, Ophthalmology, Optometry, Podiatry, Pulmonology, Radiology, and Urology assist in providing our patients the quality care they need, close to home.  

Our staff prides themselves on providing a positive patient experience paired with the highest quality of care.  MRH is extremely proud to have earned the highest, five-star rating in the first ever Centers for Medicare and Medicaid Services (CMS) survey based on customer service and patient experience.  Out of 3,553 hospitals nationwide, only 7% (251 hospitals) achieved a five-star rating.  MRH was also recently recognized by Becker's Hospital Review as one of the ""100 Great Community Hospitals"" as well as on of the ""50 Critical Access Hospitals to Know"" as well as by Avatar for Exceeding Patient Expectations and Responsiveness.  

To learn more about us, please visit our website at www.mrhme.org or like our Facebook page: www.facebook.com/MillinocketRegionalHospital.","Millinocket, Maine",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emrhme%2Eorg&urlhash=3vSc&trk=about_website,Hospitals and Health Care,201-500 employees,null,Nonprofit,258
Golfoy.com,"Golfoy.com is made up of passionate golfers, geeky web coders, ingenious merchandisers and tenacious customer representatives. Since 2014, we have been building Golfoy into one of India's largest and most trusted online golf store. With a motive of making golf affordable and available pan India, we started off with Pre-Owned golf balls at rock bottom prices for golfers to play without worrying. Over the years, in continuation to our mission we developed affordable in house golf brands – Viper Golf & Golfoy Basics, which became instant hit with our customers. Today, we offer world-class selection of branded golf equipment, golf apparel, golf accessories, golf technology and golf gifts for golfers of all ages and abilities. Premier merchandise brands include TaylorMade, Callaway, Mizuno, Dunlop, Adidas, Srixon, Cleveland, US Kids, PING, Titleist, Nike Golf, FootJoy and more. But it's more than just merchandise that sets Golfoy.com apart from other golf retailers. Our Golfoy Customer Program ensures you save on every purchase you make at Golfoy. By just creating an account you can earn Golf bucks in all* your orders, which you can redeem in every subsequent purchase.",Chandigarh,India,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgolfoy%2Ecom%2F&urlhash=bxa9&trk=about_website,Sporting Goods Manufacturing,11-50 employees,null,Nonprofit,null
PIERRE DIAMONDS,PIERRE DIAMONDS LIMITED is a retail company based on high end jewellery handcrafted.,"Sydney, New South Wales",Australia,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fpierrediamonds%2Ecom%2Eau%2F&urlhash=UpQp&trk=about_website,Retail,2-10 employees,null,Self-Owned,15
Investment Dar Bank,"Investment Dar Bank (DarBank) is an Islamic Investment Bank, with an authorized
capital of US$ 1 billion and a subscribed and paid-up capital of US$ 200 million.
Dar Bank was incorporated in August 2007 in the Kingdom of Bahrain and offers a
broad range of innovative, Shari’ah compliant investment products and services.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Einv-darbank%2Ecom&urlhash=n08F&trk=about_website,Banking,11-50 employees,null,Public Company,null
Rational Enterprise,"Rational Enterprise is a provider of Information Governance and eDiscovery software and services specifically designed for law firms and corporations. We were founded in 2006 and have offices in New York, Albany, Miami, and London. We are one of the few family-owned companies left in the industry, driven by our reputation rather than profit.  

We are specialists in Information Governance and eDiscovery, with 15 years of experience in the industry. We help corporations proactively take control of their enterprise data and assist companies and law firms navigate the eDiscovery process in the most cost effective and efficient way possible. Our propriety software is equipped with cutting-edge analytics and predictive coding technology and we have a strong focus on project management and user experience. 

We provide full support in Europe and in North and South America, with local data hosting, a team of dedicated senior consultants and project managers, and the highest data security standards in the industry. ","Albany, NY",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Erationalenterprise%2Ecom%2F&urlhash=wW5l&trk=about_website,Software Development,51-200 employees,"e-Discovery, Records Retention, GRC Governance, Risk & Compliance, Predictive Coding, Information Lifecycle Management, Machine Learning, GDPR, Data Governance, Risk management, Compliance, Legal hold, ESI collection, Data management, Information governance, and Early case assessment",Privately Held,"2,827"
Modern Ceramics Mfg,null,"San Jose, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fmodernceramics%2Ecom&urlhash=tcic&trk=about_website,"Glass, Ceramics and Concrete Manufacturing",11-50 employees,null,null,28
Hudson Civil PTY LTD,"Hudson Civil Products is Tasmania's leading supplier of civil products. With state wide coverage, we are proudly owned and operated by Tasmanians for Tasmanians. 

We have offices and factories in both Launceston and Hobart, and also manufacture at our large products facility near Launceston Airport.
Hudson Plumbing Supplies has been established as a stand alone branch of the business, located at the corner of Donald's Avenue and Westbury Road, Prospect. This separation allows both divisions to operate independently whilst being only a few hundred metres apart so as not to disadvantage our customers purchasing from both ranges of products. Hobart offers both Precast and Plumbing items at the one location.

At Hudson Civil Products we pride ourselves on manufacturing and supplying only the highest quality precast concrete for the civil, municipal, rural and domestic markets.
With a uniquely skilled workforce, a high degree of industry credibility and a reputation for excellence and innovation we have the ability to provide solutions for any project. While the majority of the products that we produce are recognized across the industry as standard products, we also manufacture to one-off individual client specifications. So if you require that special product or just need advice on options, please do not hesitate to contact us.","Prospect Vale, Tasmania",Australia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehudsoncivil%2Ecom%2Eau&urlhash=5kSG&trk=about_website,Civil Engineering,51-200 employees,Precast Concrete manufacture and Civil construction materials and products,Privately Held,813
Amplicon International,"Amplicon International, with unrivalled experience in distribution & manufacture and a history of over 40 years based firmly in engineering, has been exporting a range of advanced computer-based measurement & automation systems and products for much of its history. However, it wasn't until 1983 that Amplicon formalised its international sales effort by employing a dedicated sales team to support this area of the business.

Amplicon International has its own dedicated offices, marketing resources and sales team; and as an international business Amplicon has world-wide representation through a comprehensive network of distributors. To support a growing international presence Amplicon will be looking to appoint new distributors building on the already successful distribution channel and further leveraging the brand name of Amplicon.",Brighton,United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eamplicon%2Ecom%2Fint&urlhash=4Siq&trk=about_website,IT Services and IT Consulting,11-50 employees,null,Privately Held,null
null,null,null,null,null,null,null,null,null,null
Sobha Ltd.,"SOBHA Limited is one of the largest and only backward integrated real estate players in the country. 

With three decades of experience in creating resplendent interiors of palaces and masterpieces in the Middle-East, Mr. PNC Menon founded SOBHA Developers in 1995 with a clear vision to transform the way people perceive quality in the real estate sector in India. 

Since inception the company has always strived for benchmark quality, customer-centric approach, robust engineering, in-house research, uncompromising business ethics, timeless values and transparency in all spheres of business conduct, which have contributed in making it a preferred real estate brand in India. In 2006 SOBHA went public through its initial public offering in 2006, an event that created history when the issue got oversubscribed a record 126 times.","Bangalore, Karnataka",India,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Esobha%2Ecom&urlhash=CwON&trk=about_website,Real Estate,"1,001-5,000 employees","Residential Projects, Contractual Projects, Commercial Projects, Turn Key Solutions, Architectural Expertise, Block Making Factory, Interior Design Studio, M&E Design & Execution, Project Execution & Management, Structural Steel Works & Glazing, and Wood Work / Joinery",Public Company,"280,680"
"RetailData, LLC","The Pricing Intelligence Pioneer

Over a 30-year history as the pricing industry pioneer and leader, we have honed a proprietary and proven process for collecting and delivering the highest quality of accurate, timely, and actionable data.

We fuel retailer strategy and systems with timely and accurate data and unparalleled pricing expertise. With a customized approach to data collection and a robust process for delivering and reporting normalized data, our service offering informs decision-making and on-target strategy to win consumers and maximize business impact.

TO VIEW JOB OPENINGS AND APPLY TO RETAIL DATA, PLEASE VISIT OUR CAREERS WEBSITE: RETAILDATALLC.COM/CAREERS","Glen Allen, Virginia",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fretaildatacareers%2Egr8people%2Ecom%2F&urlhash=tY9x&trk=about_website,IT Services and IT Consulting,"1,001-5,000 employees","Collecting Competitive Pricing Information, eCommerce Audits/In-Store Audits, Compliance and Web Analytics, Price Scan Verification, Pricing Intelligence, Data Collection, Price Analyzing, Competitive Price Collection, Data analytics, business analytics, and Retail Pricing",Privately Held,"4,255"
Bahia Principe Hotels & Resorts,"Bahia Principe Hotels & Resorts es la opción perfecta para los que desean vivir una experiencia vacacional a flor de piel.

Nuestros 24 establecimientos suman más de 13.600 habitaciones y se agrupan bajo cuatro categorías − Sunlight Bahia Principe, Grand Bahia Principe, Luxury Bahia Principe y Fantasia Bahia Principe− para que nuestros huéspedes puedan elegir las vacaciones a su medida.
Nos encontramos en las localizaciones más atractivas de República Dominicana −Playa Bávaro, La Romana, San Juan y Samaná−, México −Riviera Maya−, Jamaica y España −Canarias y Baleares−, y todos nuestros hoteles están diseñados para que nuestros huéspedes disfruten de sus vacaciones en cualquier momento del año. Disponemos de una oferta gastronómica y de ocio única tanto para adultos como para los más pequeños, una amplia gama de servicios de bienestar y la excelente atención de la familia que forma el equipo de Bahia Principe.

Bahia Principe Hotels & Resorts es la cadena hotelera de Grupo Piñero, un prestigioso grupo familiar español presente en toda la cadena de valor de la industria vacacional. La compañía, gestionada en su totalidad por la familia Piñero, cuenta con tres unidades de negocio: Living Resort que abarca la actividad Hotelera, Residencial y Golf.  Travel que comprende actividades de turoperación y receptivo con las marca de Soltour y Coming2. Y Services que brinda otros servicios en destino

Nos hace muy felices que, año tras año, sigamos recibiendo prestigiosos premios internacionales que alaben la calidad en lo que hacemos y que se otorgan en el sector vacacional a cargo de entidades como TripAdvisor, Apple Vacations, HolidayCheck o Booking.com. Asimismo, el índice medio de satisfacción de nuestros huéspedes se sitúa en el 86%.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebahia-principe%2Ecom&urlhash=XpLo&trk=about_website,Hospitality,"10,001+ employees",null,Privately Held,null
null,null,null,null,null,null,null,null,null,null
Effingham County High School,null,"Springfield, Georgia",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eeffinghamschools%2Ecom%2FDomain%2F200&urlhash=ei55&trk=about_website,null,null,null,null,559
null,null,null,null,null,null,null,null,null,null
"NYDJ Apparel, LLC","At NYDJ, we believe in the transformative power of fit, and we know that a great denim day has the ability to make you feel like the best version of yourself. Our comfortable, stylish, perfectly-fitting jeans are the reason why women – of all ages, shapes, and sizes – reach for their NYDJs time and again.

Founded in Los Angeles in 2003, NYDJ pioneered the slimming denim category by introducing a revolutionary jean that was both comfortable and figure-flattering, thus igniting a cult following among women worldwide. NYDJ premium denim and pants feature the brand’s signature Lift Tuck® Slimming Technology, which sculpts a smooth, flattering silhouette to make women look and feel a full size smaller. Not only an authority in denim (NYDJ is the number-one women’s denim brand at department stores in the United States*), NYDJ now offers dress trousers and trend-right sportswear, all with NYDJ’s signature fit, comfort, and style. NYDJ is available through better department stores and boutiques in 31 countries worldwide, as well as NYDJ.com. 

*Source: NPD Group’s Consumer Tracking Survey, year end 2016","Los Angeles, California",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2FNYDJ%2Ecom&urlhash=bcGX&trk=about_website,Retail Apparel and Fashion,201-500 employees,null,Privately Held,"8,271"
WGMA,"WGMA (West Gulf Maritime Association) is a Texas nonprofit corporation, was organized in early 1968 to succeed the former local maritime associations in Houston, Galveston and Brownsville, Texas and to embrace within the membership of one Association the steamship owners, operators, agents along with stevedoring and/or terminal companies located in all Texas ports and the Port of Lake Charles, Louisiana. Acting through its committees appointed from the membership, the Association negotiates and administers various labor agreements with the International Longshoremen's Association in West Gulf ports. The Association provides a forum for discussions and exchanges of information between the member companies concerning a wide variety of industry challenges of mutual interest and concern.","Houston, Texas",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewgma%2Eorg&urlhash=5MD7&trk=about_website,Maritime Transportation,11-50 employees,null,Nonprofit,"1,358"
Dirk Hendrickx,null,null,null,null,null,null,null,null,"1,358"
MVZ für Laboratoriumsmedizin,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elabor-koblenz%2Ecom&urlhash=3bbV&trk=about_website,Musicians,2-10 employees,null,null,8
Castelli Group,"Castelli Group was founded in 1892 and is based in Reggio Emilia, controlled by Lactalis Group.
Its trademark stands for experience and history. Today, Castelli is the leading maker and distributor of Italy’s famous PDO and Typical Italian Cheeses. 

Castelli Group head office controls a network of subsidiaries in France, United Kingdom, Germany and Scandinavia. The Group has cheese manufacturing, maturing and packaging plants in Italy, Hungary and Poland.

The Group employs more than 1000 people in approximately twenty plants located in Italy and abroad.

Castelli Group range of cheese products are unique and represent the highest quality in the Italian cheese-dairy industry.

The company’s outstanding products are: Parmigiano Reggiano DOP, Grana Padano DOP, Gorgonzola DOP, Taleggio DOP, Mozzarella di Bufala Campana DOP, Pecorino Toscano DOP and Mozzarella STG
Castelli Group’s ongoing quest for excellence has been strengthened and certified by the DOP mark, making it one of the most reliable producers in terms of quality.
The company's brands are: Castelli, Di Vittorio, Alival, Mandara and Fattorie del Sole.
The company’s philosophy is to aim for ever higher standards of quality, can guarantee a wide range of DOP cheeses that have deep roots in the areas where their wholesome raw materials are processed into fine cheeses.

Castelli Group products are sold both under its own brand and its clients’ private labels which is evidence of the strong reputation for reliability that the group has attained among major distribution chains in Italy and abroad. Castelli Group has always devoted special attention to the foreign markets.",Reggio Emilia,Italia,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ecastelligroup%2Ecom&urlhash=AGZa&trk=about_website,Dairy Product Manufacturing,"1,001-5,000 employees","Cheese, Dairy Products",Privately Held,null
Whittaker Co.,"Consistently Cleaner Carpet. Smart Service.™ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines – including our exclusive three-TRIO – makes carpet care as simple as possible.","New Castle, PA",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2FWhittakerSystem%2Ecom&urlhash=f3QW&trk=about_website,Facilities Services,11-50 employees,"Commercial Carpet Cleaning, Dry Encapsulation Cleaning, Commercial Carpet Cleaning Machines, and Commercial Carpet Cleaning Solutions",Privately Held,255
National Neuroscience Institute,"The National Neuroscience Institute (NNI) is the national specialist and regional centre for conditions of the brain, spine, nerve and muscles, including stroke, dementia, Parkinson’s disease, brain tumour and brain injuries. Committed to improving patients’ lives, NNI aims to shape neuroscience for a better tomorrow through innovation, research and education.

NNI operates out of 7 hospitals in Singapore – Changi General Hospital (CGH), KK Women’s and Children’s Hospital (KKH), Khoo Teck Puat Hospital (KTPH), Sengkang General Hospital (SKH), Singapore General Hospital (SGH), Tan Tock Seng Hospital (TTSH) and Woodlands Health (WH). 

NNI is a member of the Singapore Health Services (SingHealth) – a public healthcare cluster which manages four hospitals, five specialty centres, eight polyclinics and a network of community hospitals – and the SingHealth Duke-NUS Academic Medical Centre. 

For more information, visit www.nni.com.sg.",Singapore,Singapore,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Enni%2Ecom%2Esg&urlhash=0A4W&trk=about_website,Hospitals and Health Care,201-500 employees,"Neurology, Neurosurgery, Neuroradiology, Neurodiagnostic, Research, and Education",Privately Held,null
Oficina das Finanças Ltda,"A Oficina das Finanças trabalha com Educação Financeira desde 2008 com o propósito de transformar o mundo para melhor, ajudando pessoas a usar o dinheiro com sustentabilidade, ética, empreendedorismo, cooperação e responsabilidade social e ambiental.

Desenvolveu o próprio método de sustentabilidade financeira dos 4 G`s, que ajuda a simplificar o assunto ""finanças"", desenvolver habilidades e colher resultados rapidamente com mudança de comportamentos. 

Atinge crianças e adultos com diferentes abordagens. Tem programas on-line, para escolas e para empresas. Seus resultados são acompanhados por pesquisas de impacto realizadas por acadêmicos.","Brasília, DF",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eoficinadasfinancas%2Ecom%2Ebr&urlhash=m7dV&trk=about_website,Primary and Secondary Education,11-50 employees,"Planejamentos Financeiros Virtuais, Material Pedagógico para Educação Financeira na Escola - Ensino Fundamental, Material Pedagógico para Educação Financeira na Escola - Educação Infantil, and Material Pedagógico para Educação Financeira na Escola - Ensino Médio",Privately Held,265
