matched_company,website,Industry,Headquarters,Country,Description,Company Size,date_compromised,visits,data_size,compromised_category,RansomGroup
byzan systems pvt ltd,www.byzan.com,Software Development,"Andheri (E), Mumbai, Maharashtra",India,"Byzan Systems is a 15+ year old, steadily growing IT Solutions Company. The company's objective is to provide cost effective and quality solutions. Byzan has strong credentials in the Financial Services Industry where its clients include 20+ major global financial services firms. We have a strong track record of providing solutions and services since our inception and a strong Applications Development, Management, Testing and Infrastructure Services capability. Byzan has it's office in Mumbai and has support centres in 6 other Indian cities.

Byzan is focused on accelerating the adoption of consumer led innovation for enterprises - to take advantage of new revenue sources and improve operational efficiency. Enterprise Mobility and the New Web are at the core of this new innovation.

Byzan has built platforms that enable rapid adoption of these new technologies for enterprises and provide specific business solutions. The firm has a robust Smart Integration Model that has been built and tested over many years with multiple clients. Byzan's Enterprise Mobility Team works with clients across the lifecycle of the overall initiative – from incubation and strategy to management and testing.",201-500 employees,2024-07-20 12:57:15,21854,120gb,['Financial Data'],RansomHub
pt garudafood putra putri jaya tbk,www.garudafood.com,Manufacturing,"Jakarta, DKI Jakarta",Indonesia,"PT Garudafood Putra Putri Jaya Tbk is one of the largest food and beverage companies in Indonesia. Established in 1990, the founder of Garudafood has started its business activities since 1979 through PT Tudung Putra Jaya (TPJ), a company based in Pati, Central Java, which markets peanut products which later became Kacang Garuda (Garuda Peanut). Garudafood produces and markets food and beverage products under six leading brands, namely Garuda, Gery, Chocolatos, Clevo, Prochiz, and TopChiz. The products include biscuits, nuts, pilus, pellet snack, confectionery, milk drinks, cocoa powder, cheese, and dressing salad. Garudafood exports its products to more than 20 countries, focusing on ASEAN countries, Tiongkok and India.","10,001+ employees",2024-07-20 18:47:15,21132,10G,"['PII', 'Employee and HR Data']",RansomHub
whittaker co,www.kumagaigumi.co.jp,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.™ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines – including our exclusive three-TRIO – makes carpet care as simple as possible.",11-50 employees,2024-07-19 23:04:25,21476,5TB,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
glow,www.glowfm.nl,Entertainment Providers,"Seattle, WA",United States,"Glow’s mission is to help podcast creators thrive by providing them the tools to establish direct relationships with their customers.  We enable audio creators to become audio entrepreneurs, so they can make a living doing what they love.

Podcasting is the fastest growing medium in the world.  There are 700,000 podcasts today, as it is easier than ever to create a podcast.  32% of Americans listen to a podcast every month, and active weekly listeners listen to 7 podcasts per week.

Yet many podcasters lack a way to create a direct relationship with their listeners.  They want solutions to offer premium content and take data-driven approaches to growing their podcasts.  Glow’s first product is the simplest solution for podcasters to allow their listeners to support them. A listener can subscribe to a premium podcast in under 15 seconds, right from the podcast player of their choice.  With a direct relationship, podcasters will be able to use Glow’s tools to grow their content, audience, and revenues.

Glow is a spinout of Pioneer Square Labs, a startup studio based in Seattle.",2-10 employees,2024-07-16 13:43:46,21881,20GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
publicis global delivery (pgd),pgd.pl,"Technology, Information and Media",,,"Publicis Global Delivery (PGD); Publicis Groupe’s industry leading globally connected capability platform. Where talent, technology & operations combine to delivery amazing solutions for our clients. Expertise across Media, Data, Technology, Commerce & Production in all regions of the world.
 
PGD is comprised of the best talent, and ways-of-working, which enables global scale, innovation and transformation, each day.
 
Culture, growth and wellbeing underline all aspects of Publicis Global Delivery.
 
#WeArePGD","5,001-10,000 employees",2024-07-18 11:15:11,22131,960gb,['unknown'],RansomHub
ceopag,ceopag.com.br / ceofood.com.br,IT Services and IT Consulting,"São José do Rio Preto, SP",Brasil,"A Ceopag está presente em 20 Estados e 300 cidades e chega com produtos exclusivos, franqueados especializados, em um mercado crescente e inovador para facilitar e potencializar o faturamento do seu negócio.",201-500 employees,2024-07-16 01:54:11,21459,200GB,"['Intellectual Property', 'Customer and Client Data', 'Databases', 'Financial Data']",RansomHub
cameron hodges,www.cameronhodges.com,,,,,,2024-07-16 12:32:19,22667,100Gb,"['Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
bench international,www.benchinternational.com,Executive Search Services,"La Jolla, CA",United States,"Bench International is the longest serving woman-founded executive search firm serving the Life Science and Healthcare sectors. The firm is also one of the most renowned experts in diversity recruitment at the board and executive level, as well as in R&D leadership. Bench’s scorecard reflects over $150 billion in successful client exits, a 98% project completion record, with a 75% retention for five or more years. 33% of all leaders placed in Bench’s 45+ year history have been gender and ethnically diverse. With headquarters in San Diego, California, and satellite offices in Los Angeles, San Francisco, New York, Boston, the United Kingdom and Switzerland Bench is One Global Team, No Borders, No Boundaries and One Global Budget, thus mitigating internally competitive offices. ",11-50 employees,2024-07-16 12:27:56,22642,50Gb,['Customer and Client Data'],RansomHub
mineduc - ministerio de educación - guatemala,www.zepter.de,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,2024-07-02 19:04:41,24720,500+GB,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
mineduc - ministerio de educación - guatemala,www.eurostrand.de,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,2024-07-11 16:06:18,25528,10 Gb,['Employee and HR Data'],RansomHub
netavent,www.netavent.dk,"Appliances, Electrical, and Electronics Manufacturing","Herlev, Hovedstaden",Danmark,"Netavent udvikler ventilations-løsninger med fokus på effektivitet og den enkelte kundes behov.

Netavent har over 30 års erfaring med opbygningen af individuelle komfort- og miljøanlæg.

Vi adskiller os i branchen ved evnen til at sætte mennesket i centrum og løse opgaver, som kræver lidt ekstra.

Gennem årene har vi leveret løsninger til en bred vifte af brancher i ind- og udland.

Netavent's hovedkontor ligger i Herlev og vores svenske søsterselskab, Klimatbyrån AB har hovedkontor i Malmø.",11-50 employees,2024-07-11 15:54:20,25107,10Gb,['Legal Documents'],RansomHub
bfc solutions,www.bfcsolutions.com,Facilities Services,"Nashville, TN",United States,"BFC Solutions is the largest self-performing preventative maintenance provider in the U.S. We develop planned preventative maintenance programs to identify problems before they become costly repairs. 

Through our best-in-class patented filter system, coil cleaning, comprehensive site inspections, and other value-added services, we help keep your facilities and HVAC systems operating efficiently to reduce costs and achieve sustainability goals. 

With 60 years of experience and 1,000 employees across the country, BFC Solutions is the trusted leader in facilities maintenance for many of the top Fortune 500 companies in industries such as retail, restaurant, convenience store, grocery, financial, entertainment, healthcare, and more. ","501-1,000 employees",2024-07-11 11:51:47,24984,1.3TB,['unknown'],RansomHub
swcs,www.swcs-inc.com,,"LAKESIDE, California",United States,,2-10 employees,2024-07-03 10:35:35,30565,600 GB,"['Intellectual Property', 'Legal Documents']",RansomHub
mineduc - ministerio de educación - guatemala,www.sfmedical.de,,,,MINEDUC - Ministerio de Educación - Guatemala is a company based out of Guatemala.,,2024-07-01 07:33:50,29816,100+Gb,['PII'],RansomHub
florida health,floridahealth.gov,Government Administration,"Tallahassee, FL",United States,"Our Mission: 
To protect, promote & improve the health of all people in Florida through integrated state, county, & community efforts.

Our Vision: 
To be the Healthiest State in the Nation.

Our Values: (ICARE)
Innovation: We search for creative solutions and manage resources wisely.
Collaboration: We use teamwork to achieve common goals & solve problems.
Accountability: We perform with integrity & respect.
Responsiveness: We achieve our mission by serving our customers & engaging our partners.
Excellence: We promote quality outcomes through learning & continuous performance improvement.

To find Florida Health's official social media channels, please visit the following link: https://www.floridahealth.gov/about/social-media.html#verified","10,001+ employees",2024-07-01 21:25:24,30613,100gb,['unknown'],RansomHub
spandex,Spandex.com,Media Production,"Dietlikon, Zurich",Schweiz/Suisse/Svizzera/Svizra,"Spandex is one of the world’s leading suppliers of signage and digital materials, sign systems, displays, tools and equipment to the sign making, graphics, wrapping, textiles and architectural markets.
Since 1976, it’s been our business to provide complete solutions for businesses that produce signs and displays, digital prints, speciality graphics, vehicle wraps and many other forms of visual communication. With offices in 20 countries* and a broad product portfolio from industry leading brands, we offer our customers outstanding service, delivered by a team of experts. 
Spandex serves over 40,000 customers that rely on our broad range of solutions, professional advice and service.
For more information, please visit www.spandex.com

You will find our locations in:
Australia
Austria
Belgium
Czech Republic
Estonia
Finland
France
Germany
Italy
Lithuania
Norway
Portugal
Slovakia
Spain
Sweden
Switzerland
The Netherlands
Turkey
United Kingdom
United States

Find out full location details here: www.spandex.com/contact.html","1,001-5,000 employees",2024-06-28 23:36:32,31603,520GB,['unknown'],RansomHub
sicoob,www.sicoob.com.br<Updated>,Financial Services,"Brasília, DF",Brasil,"O Sicoob é o maior sistema financeiro cooperativo do país, com mais de 8 milhões de cooperados e mais de 4,6 mil pontos de atendimento distribuídos em todo o Brasil. Somos uma cooperativa financeira que oferece aos cooperados serviços de conta corrente, crédito, investimento, cartões, previdência, consórcio, seguros, cobrança bancária, adquirência de meios eletrônicos de pagamento, entre outros. Ou seja, temos um portfólio completo para atender o nosso público. Somos reconhecidos como a terceira melhor instituição financeira do Brasil segundo o ranking “Melhores Bancos do Mundo 2024”, realizado pela Forbes em parceria com a empresa de estudos de mercado Statista.

Para oferecer esse atendimento, não abrimos mão do nosso propósito de conectar pessoas para promover justiça financeira e prosperidade. Acreditamos que, para promover uma nova economia, temos que ser uma instituição diferente, é por isso que aqui cada colaborador e cooperado tem voz ativa para crescermos juntos! 

Deseja falar com a gente? Confira nossos números para contato:

Central de Atendimento:

Capitais e regiões metropolitanas: 4000 1111*

Demais localidades: 0800 642 0000

*Caso a localidade não possua o serviço 4000 ou 4007, informe o número da operadora mais o DDD 61: (0xx61 4000 1111).

Para informações, dúvidas, reclamações e comunicação de ocorrência de fraude, ligue para o nosso SAC 24 horas: 0800 724 4420

Deseja falar com a Ouvidoria? 

Para reclamações, elogios e sugestões: 0800 725 0996 (de segunda a sexta, das 8h às 20h)

Deficientes auditivos ou de fala: 0800 940 0458 (de segunda a sexta, das 8h às 20h)","10,001+ employees",2024-06-01 02:13:16,34247,1TB,"['Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'PII', 'Employee and HR Data', 'Databases']",RansomHub
cipl - corporate infotech pvt ltd,www.cipl.org.in,IT Services and IT Consulting,"Noida, Uttar Pradesh",India,"Corporate Infotech Pvt. Ltd. was incorporated in the year 2007 by Mr. Vinod Kumar,  the Managing Director & CEO, with a strong ideology of fair, honest & ethical business practices.

A company that is into the business of Information Technology, which gets driven with the passion, the tool, the infrastructure and the vision.

To provide “one stop technology destination” for customers across all verticals.
To help customers achieve their objectives by providing innovative, best-in-class consulting. IT solutions and services in the most effective & profitable manner.
CIPL has been able to achieve the coveted position as one of the largest solution provider and the fastest growing company in India by creating a strong portfolio of products & services.

Committed to continuous improvement and closing the capability gap, CIPL has been appraised at level 5 of the CMMI Institute’s Capability Maturity Model Integration.","1,001-5,000 employees",2024-06-27 13:30:28,31544,200GB,"['Intellectual Property', 'Customer and Client Data', 'Databases', 'Employee and HR Data']",RansomHub
danielle group plc,daniellegroup.com,Legal Services,Manchester,United Kingdom,"Specialises in design, contract manufacture and supply of imported clothing. With separate departments dedicated to clothing, footwear, corporatewear, handbags and accessories. Manufatures in the Far East, Regional offices in China, India, Bangladesh and Veitnam.",2-10 employees,2024-06-26 13:05:23,31326,200GB,['Legal Documents'],RansomHub
avant it as,www.cloudeurope.it,Computer and Network Security,"OSLO, OSLO",Norge,"Avant IT er et fremtidsrettet teknologiselskap som skreddersyr løsninger for deg og ditt selskap.

Våre fokusområder består av IT-drift, Microsoft 365, Legal 365 som er en bransjeløsning for advokater,PC, Skjerm, Møterom og Print & Dokumentstyring samt tilhørende Onsite Service & Remotre Support av disse områdene.

Vi leverer i dag innovative løsninger innenfor våre fokusområder til kunder spredt rundt i Norden. Som en dedikert Microsoft og HP-partner jobber vi kontinuerlig med å utvikle innovative løsninger for å imøtekomme våre kunders behov og ønsker.

1.1.2018 fusjonerte CRM Norge og Laser Tone Norge as, med CRM Norge AS som det overtagende selskap.  Selskapets navn ble endret til Avant IT AS.

Samtlige avtaler og forpliktelser selskapene innehar blir ivaretatt av Avant IT AS.

Selskapene har vært samlokalisert siden 2001 og beholder post- og besøks-adresse. Samtlige ansatte er dessuten med videre.

Vår historie
Laser Tone Norge AS ble etablert i 1989 og er en multibrand leverandør av bransjeledende merkevarer som Hewlett Packard, Samsung, Lexmark og Ricoh til private bedrifter og offentlig sektor. Selskapet innehar Hewlett Packard’s høyeste sertifiseringer på salg og service og kan basert på dette rådgi sine kunder for optimalisert, sikker drift med fordelaktige betingelser.

CRM Norge AS startet opp som Visma-forhandler i 2001, men har siden 2013 levert  Office 365, Dynamics 365 CRM og Azure-løsninger fra Microsoft til kunder i Norden. I 2016 ble selskapet sertifisert som Norge’s første Microsoft Gold Cloud CRM Partner. Med egen utviklingsavdeling skreddersyr man i tillegg Dynamics 365 CRM løsninger til flere ulike bransjer bl.a. salg, service, forsikring, rådgivning, advokat og eiendom.",11-50 employees,2024-06-27 12:10:36,31049,500GB,"['Databases', 'Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
avant it as,www.mangimifusco.it,Computer and Network Security,"OSLO, OSLO",Norge,"Avant IT er et fremtidsrettet teknologiselskap som skreddersyr løsninger for deg og ditt selskap.

Våre fokusområder består av IT-drift, Microsoft 365, Legal 365 som er en bransjeløsning for advokater,PC, Skjerm, Møterom og Print & Dokumentstyring samt tilhørende Onsite Service & Remotre Support av disse områdene.

Vi leverer i dag innovative løsninger innenfor våre fokusområder til kunder spredt rundt i Norden. Som en dedikert Microsoft og HP-partner jobber vi kontinuerlig med å utvikle innovative løsninger for å imøtekomme våre kunders behov og ønsker.

1.1.2018 fusjonerte CRM Norge og Laser Tone Norge as, med CRM Norge AS som det overtagende selskap.  Selskapets navn ble endret til Avant IT AS.

Samtlige avtaler og forpliktelser selskapene innehar blir ivaretatt av Avant IT AS.

Selskapene har vært samlokalisert siden 2001 og beholder post- og besøks-adresse. Samtlige ansatte er dessuten med videre.

Vår historie
Laser Tone Norge AS ble etablert i 1989 og er en multibrand leverandør av bransjeledende merkevarer som Hewlett Packard, Samsung, Lexmark og Ricoh til private bedrifter og offentlig sektor. Selskapet innehar Hewlett Packard’s høyeste sertifiseringer på salg og service og kan basert på dette rådgi sine kunder for optimalisert, sikker drift med fordelaktige betingelser.

CRM Norge AS startet opp som Visma-forhandler i 2001, men har siden 2013 levert  Office 365, Dynamics 365 CRM og Azure-løsninger fra Microsoft til kunder i Norden. I 2016 ble selskapet sertifisert som Norge’s første Microsoft Gold Cloud CRM Partner. Med egen utviklingsavdeling skreddersyr man i tillegg Dynamics 365 CRM løsninger til flere ulike bransjer bl.a. salg, service, forsikring, rådgivning, advokat og eiendom.",11-50 employees,2024-06-26 08:13:08,30228,490GB,"['Customer and Client Data', 'PII', 'Legal Documents', 'Employee and HR Data']",RansomHub
multi-wing,multi-wing.com,Manufacturing,Vedbæk,Danmark,"At Multi-Wing, our mission is to shape the airflow of the future. We achieve this through our energy-saving and custom-designed airflow solutions. As a global partner with a local presence, we blend our aerodynamic expertise with cutting-edge research and development.

Our products, including fans and impellers, are designed to cool HVAC/R equipment, vehicle engines, electric drivetrains, and more. This results in maximum efficiency and reduced emissions.

We offer the market's broadest range of axial fan impellers through our modular system. These are tailor-made to meet your specific needs. We take the time to analyze your airflow requirements and design a solution that is just right for you.

Our axial fans and impellers are manufactured with precision in ISO 9001 certified facilities worldwide, ensuring fast and reliable delivery.

Our unwavering commitment to solving even the most complex airflow challenges has made us the preferred partner for some of the world's leading brands.

Multi-Wing stands at the forefront of airflow technology, committed to delivering innovative and efficient solutions that meet the demands of today and shape the future of airflow. We invite you to join us on this exciting journey.","501-1,000 employees",2024-06-13 07:52:55,31431,900GB,"['Databases', 'Customer and Client Data']",RansomHub
invisio,www.invisio.com,Defense & Space,Hvidovre,Danmark,"INVISIO offers cutting-edge personal communication and hearing protection systems. The systems enable users to operate and communicate safely and clearly in all environments, even under extreme conditions, such as loud noise, heat, and underwater. 

INVISIO systems consist of headsets and advanced control units that interface to a wide range of communication devices. The systems provide hearing protection while maintaining the natural level of situational awareness. 

Customers are mainly from the public sector. Sales are made via a global network of partners and to some extent directly to end customers.  

INVISIO is listed on Nasdaq Stockholm (IVSO). 

Additional information is available on www.invisio.com.",51-200 employees,2024-06-19 18:56:16,34728,400 GB,['PII'],RansomHub
parlorenzo sl,parlorenzo.com,Accounting,MADRID,España,,11-50 employees,2024-06-16 14:46:27,34155,37GB,"['Customer and Client Data', 'PII']",RansomHub
avant it as,www.gbricambi.it [UPDATE],Computer and Network Security,"OSLO, OSLO",Norge,"Avant IT er et fremtidsrettet teknologiselskap som skreddersyr løsninger for deg og ditt selskap.

Våre fokusområder består av IT-drift, Microsoft 365, Legal 365 som er en bransjeløsning for advokater,PC, Skjerm, Møterom og Print & Dokumentstyring samt tilhørende Onsite Service & Remotre Support av disse områdene.

Vi leverer i dag innovative løsninger innenfor våre fokusområder til kunder spredt rundt i Norden. Som en dedikert Microsoft og HP-partner jobber vi kontinuerlig med å utvikle innovative løsninger for å imøtekomme våre kunders behov og ønsker.

1.1.2018 fusjonerte CRM Norge og Laser Tone Norge as, med CRM Norge AS som det overtagende selskap.  Selskapets navn ble endret til Avant IT AS.

Samtlige avtaler og forpliktelser selskapene innehar blir ivaretatt av Avant IT AS.

Selskapene har vært samlokalisert siden 2001 og beholder post- og besøks-adresse. Samtlige ansatte er dessuten med videre.

Vår historie
Laser Tone Norge AS ble etablert i 1989 og er en multibrand leverandør av bransjeledende merkevarer som Hewlett Packard, Samsung, Lexmark og Ricoh til private bedrifter og offentlig sektor. Selskapet innehar Hewlett Packard’s høyeste sertifiseringer på salg og service og kan basert på dette rådgi sine kunder for optimalisert, sikker drift med fordelaktige betingelser.

CRM Norge AS startet opp som Visma-forhandler i 2001, men har siden 2013 levert  Office 365, Dynamics 365 CRM og Azure-løsninger fra Microsoft til kunder i Norden. I 2016 ble selskapet sertifisert som Norge’s første Microsoft Gold Cloud CRM Partner. Med egen utviklingsavdeling skreddersyr man i tillegg Dynamics 365 CRM løsninger til flere ulike bransjer bl.a. salg, service, forsikring, rådgivning, advokat og eiendom.",11-50 employees,2024-06-20 17:28:22,31855,400 GB,['PII'],RansomHub
avant it as,www.novabitsrl.it,Computer and Network Security,"OSLO, OSLO",Norge,"Avant IT er et fremtidsrettet teknologiselskap som skreddersyr løsninger for deg og ditt selskap.

Våre fokusområder består av IT-drift, Microsoft 365, Legal 365 som er en bransjeløsning for advokater,PC, Skjerm, Møterom og Print & Dokumentstyring samt tilhørende Onsite Service & Remotre Support av disse områdene.

Vi leverer i dag innovative løsninger innenfor våre fokusområder til kunder spredt rundt i Norden. Som en dedikert Microsoft og HP-partner jobber vi kontinuerlig med å utvikle innovative løsninger for å imøtekomme våre kunders behov og ønsker.

1.1.2018 fusjonerte CRM Norge og Laser Tone Norge as, med CRM Norge AS som det overtagende selskap.  Selskapets navn ble endret til Avant IT AS.

Samtlige avtaler og forpliktelser selskapene innehar blir ivaretatt av Avant IT AS.

Selskapene har vært samlokalisert siden 2001 og beholder post- og besøks-adresse. Samtlige ansatte er dessuten med videre.

Vår historie
Laser Tone Norge AS ble etablert i 1989 og er en multibrand leverandør av bransjeledende merkevarer som Hewlett Packard, Samsung, Lexmark og Ricoh til private bedrifter og offentlig sektor. Selskapet innehar Hewlett Packard’s høyeste sertifiseringer på salg og service og kan basert på dette rådgi sine kunder for optimalisert, sikker drift med fordelaktige betingelser.

CRM Norge AS startet opp som Visma-forhandler i 2001, men har siden 2013 levert  Office 365, Dynamics 365 CRM og Azure-løsninger fra Microsoft til kunder i Norden. I 2016 ble selskapet sertifisert som Norge’s første Microsoft Gold Cloud CRM Partner. Med egen utviklingsavdeling skreddersyr man i tillegg Dynamics 365 CRM løsninger til flere ulike bransjer bl.a. salg, service, forsikring, rådgivning, advokat og eiendom.",11-50 employees,2024-06-11 13:10:27,35761,13gb,"['PII', 'Legal Documents']",RansomHub
crezit,www.crezit.com,Financial Services,"4-9-2 Roppongi, Minato, Tokyo",日本,,2-10 employees,2024-05-13 08:05:58,36213,2.5 Gb,"['Customer and Client Data', 'PII']",RansomHub
christie's,www.christies.com<SOLD>,Retail Luxury Goods and Jewelry,"London, England",United Kingdom,"Founded in 1766, Christie’s is a world-leading art and luxury business. Renowned and trusted for its expert live and online auctions, as well as its bespoke private sales, Christie’s offers a full portfolio of global services to its clients, including art appraisal, art financing, international real estate and education.  Christie’s has a physical presence in 46 countries, throughout the Americas, Europe, Middle East, and Asia Pacific, with flagship international sales hubs in New York, London, Hong Kong, Paris and Geneva. It also is the only international auction house authorized to hold sales in mainland China (Shanghai).

Christie’s auctions span more than 80 art and luxury categories, at price points ranging from $200 to over $100 million. In recent years, Christie’s has achieved the world record price for an artwork at auction (Leonardo da Vinci’s Salvador Mundi, 2017), for a single collection sale (the Collection of Peggy and David Rockefeller, 2018), and for a work by a living artist (Jeff Koons’ Rabbit, 2019).

Christie’s Private Sales offers a seamless service for buying and selling art, jewellery and watches outside of the auction calendar, working exclusively with Christie’s specialists at a client’s individual pace. 

Recent innovations at Christie’s include the groundbreaking sale of the first NFT for a digital work of art ever offered at a major auction house (Beeple’s Everydays, March 2021), with the unprecedented acceptance of cryptocurrency as a means of payment. As an industry leader in digital innovation, Christie’s also continues to pioneer new technologies that are redefining the business of art, including the creation of viewing and bidding experiences that integrate augmented reality, global livestreaming, buy-now channels, and hybrid sales formats.  

Christie’s is dedicated to advancing responsible culture throughout its business and communities worldwide, including achieving sustainability through net zero carbon emissions by 2030.","1,001-5,000 employees",2024-05-26 04:30:35,39505,2GB,"['Customer and Client Data', 'PII', 'Employee and HR Data']",RansomHub
brittany horne,www.brittanyhorne.com,,,,,,2024-05-20 14:29:18,39564,2GB,['unknown'],RansomHub
houston waste solutions,www.houstonwastesolutions.com,Environmental Services,"HOUSTON, TEXAS",United States,"We are an independent Waste Company which services the Greater Houston Area. We can handle ALL of your waste needs!!!

At Houston Waste Solutions, we understand the importance of a partnership between our clients & a waste company (driven through superior customer service) that offers cost effective waste removal services. HWS is an innovative waste disposal company serving Houston and its greater surrounding areas. 

Our goal is to develop a plan tailored to your specific needs. Offer a comprehensive waste management service that will work with you to customize a program that fits your schedule, your budget and is efficient.

HWS offers: 
•      Superior customer service and guaranteed next day hauling.
•      A well maintained fleet of trucks that cover Houston and the greater Houston area
•      Waste and recycle hauling 
•      Open top containers 20, 30, 40 
•      Compactors 
•      FEL (Front End Loaders) 2, 4, 6, and 8yard containers
•      Nightly hand pick up
•      Monthly waste and Recycle reports

•      Equipment rentals and sales
•      Open top containers 20, 30, 40 
•      Compactors – self-contained and stationary 
•      Balers
•      Receiver boxes
•      Key personal on call 24 hours to handle ANY emergency.

Houston Waste Solutions strives to see that all orders are delivered as promised, placed in the most convenient and accessible locations available and serviced in accordance with the highest professional standards. 

HWS prides itself on providing the highest level of customer service, living up to commitments and getting the jobs completed as promised. We offer a full range of waste collection services from traditional roll-off boxes, compactors and balers. 

Optimize current hauling, garbage disposal and recycling service to reduce overall waste management system costs

Collaborate with customers staff to implement the program

Offer continual improvement in customers Recycling process and assist in increasing diversion (reduce, reuse, and recycle)

One point of contact for all services, as well as one invoice

                                                           


                                                          Environmental Solutions for our Future",11-50 employees,2024-05-17 12:10:39,39708,120.7 Gb,"['Customer and Client Data', 'PII', 'Legal Documents']",RansomHub
alabama plate cutting co,www.chuoss.co.jp,Mining,"Saginaw, Alabama",United States,"Alabama Plate Cutting Company offers a wide variety or steel plate processing and steel plate cutting services to Alabama, Tennessee, Georgia, Mississippi, and Florida.",11-50 employees,2024-05-15 10:52:07,40107,20GB,['unknown'],RansomHub
oriux,www.oriux.com,"Appliances, Electrical, and Electronics Manufacturing","Houston, Texas",United States,"ORIUX is a technology innovator of Intelligent Transportation Systems and Traffic Management solutions, providing the world with safer roads and better mobility. The company is the manufacturer of the first and most widely used ATC traffic controller in the world and provides a broad range of other products among three different product lines: data collection, detection and intersection control. The company employs more than 1,000 people in the Americas.",51-200 employees,2024-05-15 09:29:26,38874,300Gb,"['Customer and Client Data', 'Legal Documents', 'PII', 'Employee and HR Data', 'Databases', 'Utility and Infrastructure Data']",RansomHub
eucatex,www.eucatex.com.br,Wholesale Building Materials,"São Paulo, Sp",Brasil,"Eucatex S.A. Indústria e Comércio S.A. (“Eucatex” or the “Company”) was founded in 1951 and since then has been manufacturing and selling ceiling lining and insulating material from eucalyptus fiber. These are low-density products with thermal and acoustic insulation properties, which were largely used in the Brazilian civil construction market. In the beginning of the ‘80s, financial resources generated by its operations since foundation were invested in the implementation of production lines for hardboard (high density wood fiber panels), which still is one of the flagships of the Company.

Currently, Eucatex is the second largest producer of wood fiber panels in the foreign market, with a market share of 41%. In 1996, Eucatex started to manufacture MDP panels and currently has a market share of 16% in this segment in Brazil. In addition, it is the domestic leader in ceiling lining and insulating materials, wall partitions, in addition to operating in the door and flooring markets.

Although Eucatex is traditionally known for its wood-related products, such as wood panels, MDP panels and related products, it also has a manufacturing line entirely integrated for the manufacture of paint (for own consumption and to the market) and resins, expanded vermiculite-based products (used in the manufacturing of wall partitions and ceiling linings with thermal insulating properties) and peat, in addition to galvanized steel roofing sheets and steel profiles. The industrial evolution of Eucatex has always been associated to the growth of its planted forests, which ensures the continuous supply of an important raw material for the company, eucalyptus wood. The Company chiefly operates in the furniture and civil construction industries, and each segment represents 48% and 35% of its income, respectively.","1,001-5,000 employees",2024-05-14 04:53:20,40207,150 GB,"['Intellectual Property', 'Customer and Client Data', 'Databases', 'Legal Documents']",RansomHub
okuant,OKUANT - okuant.com,Real Estate,"Madrid, Community of Madrid",España,"Okuant se especializa en la adquisición y gestión integral de carteras inmobiliarias procedentes de entidades financieras y promotores.

Nuestro objetivo es generar rentabilidad para nuestros clientes mediante el aprovechamiento de las oportunidades de inversión en el mercado inmobiliario español. Para ello, en OKUANT trabajamos en todas las fases del proceso, gestionando las inversiones de nuestros clientes y garantizando la seguridad y éxito de las operaciones.

Nuestra tecnología, que nos permite detectar y valorar oportunidades de inversión en tiempo real, unida a nuestro posicionamiento en el mercado y mayor poder de negociación, convierten a OKUANT en la mejor opción a la hora de afrontar con garantías procedimientos de inversión y desinversión.",51-200 employees,2024-05-13 08:00:32,37780,5 Gb,"['Customer and Client Data', 'Employee and HR Data']",RansomHub
mvz für laboratoriumsmedizin,iseta.fr,Musicians,,,,2-10 employees,2024-05-08 01:17:57,37049,100GB,['Legal Documents'],RansomHub
erlebnisland eurostrand gmbh & co kg,www.kamojou.co.za,Hospitality,"Fintel, Lower Saxony",Deutschland,"Eurostrand is offering it all. All-inclusive club holiday with premium beverages and meals, activities, entertainment and excursions. Have yourself a Party Time weekend with your soccer club or the ladies. If you need a more relaxed but still active week away - then our ""My Holiday"" program is for you. 

Looking for a venue for your next Christmas party, conference or team building? Eurostrand offers you an almost endless variety of event options. Our event team will handle every detail of planning and realization, beginning with travel arrangements including rooms, organizing coffee-breaks and evening entertainment. There are no restrictions to your imagination and space for everyone. 
 With our all-inclusive packages you get excellent value for money.",201-500 employees,2024-05-05 06:01:35,44347,2GB,['Customer and Client Data'],RansomHub
whittaker co,www.thaayakam.co.uk,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.™ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines – including our exclusive three-TRIO – makes carpet care as simple as possible.",11-50 employees,2024-05-04 10:59:59,45285,10.7GB,['Databases'],RansomHub
polaris,www.polaris.es,Manufacturing,"Medina, Minnesota",United States,"Since 1954, Polaris has proudly defined, re-defined and then raised the bar again for the powersports industry. It is reflected in the innovation we bring to the products we design and experiences we create for all those who play, work and THINK OUTSIDE.","10,001+ employees",2024-04-26 20:10:24,52438,165Gb,['Customer and Client Data'],RansomHub
