Company Name,Company URL,Date,View Count,Photo Count,File Count,File Size,Content
POMALCA.COM.PE,http://www.pomalca.com.pe/,"JUL 5, 2024",2998,0 photos,19630 files,31.50 GB,"Empresa Agroindustrial Pomalca is a leading agribusiness company based in Chiclayo, Peru. It is one of the country's major sugar producers. The company has more than in sugar cane for production of sugar, molasses, and bagasse, in addition to other agricultural exports from its factory in coastal Lambayeque Region, Peru. It is an exporter of refined sugar to the United States."
THE SEATTLE PUBLIC LIBRARY,http://www.spl.org/,"JUL 5, 2024",2343,13 photos,0 files,0.00 GB,"The Seattle Public Library (SPL) is the public library system serving the city of Seattle, Washington. Efforts to start a Seattle library had commenced as early as 1868, with the system eventually being established by the city in 1890. The system currently comprises 27 branches, most of which are named after the neighborhoods in which they are located. The Seattle Public Library also includes Mobile Services and the Central Library, which was designed by Rem Koolhaas and opened in 2004. The Seattle Public Library also founded the Washington Talking Book & Braille Library (WTBBL), which it administered until July 2008. UPGRADE! Soon we will start exhibiting the most interesting things and open our eyes to everything that The Seattle Public Library actually does. Follow the news. A company that wants to hide the fact of hacking and leakage of personal data. About 500 GB of confidential data was downloaded. - Personnel (copies of documents, personal data, etc.) - Contracts (all reports, partner data, etc.) - Finance (reports, transactions, income, financial transactions, partners, contracts, etc.) - Private & Confidential and much more."
COMMONWEALTH SIGN,http://www.commonwealthsign.com/,"FEB 3, 2024",2889,14 photos,8998 files,32.00 GB,The company has chosen to ignore us means its data will be open and available for download below.
MORDFIN,http://www.mordfin.com/,"JAN 28, 2024",12289,22 photos,323965 files,314.00 GB,"The Mordfin Group was founded in 1922. The company provides accounting, tax, real estate, luxury, auditing, and estate planning services.Now you can download all data from this company."
NEAFIDI,http:// neafidi.it,"JAN 25, 2024",16881,10 photos,102516 files,88.00 GB,"On February 2, we will publish personal data, financial statements and other confidential information"
WANNAGOCLOUD,http://wannagocloud.com/,"JAN 25, 2024",16415,0 photos,26989 files,145.00 GB,you have a few days left until your customers are hurt by you.
PROJECTSW,http://www.projects-world.com/,"JAN 19, 2024",26640,14 photos,10115 files,103.00 GB,"The company makes a decision to ignore us, all personal data are open and available for download below."
F J O'HARA & SONS,http://www.fjohara.com/,"JAN 9, 2024",31140,17 photos,0 files,0.00 GB,"F J O'Hara & Sons Inc is a company that operates in the Information Technology and Services industry. It employs 11-20 people and has $5M-$10M of revenue. The company is headquartered in Boston, Massachusetts. We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published."
HALLEONARD,http://www.halleonard.com.au/,"JAN 8, 2024",43913,10 photos,175453 files,75.00 GB,"We are a subsidiary of Hal Leonard Corporation who, founded in 1947, is the world leader in the print music industry. Selling products in more than 65 countries around the world, Hal Leonard Corporation represents in print some of the world's best known and respected artists including The Beatles, Miles Davis, Diana Krall, Justin Timberlake and Stevie Wonder as well as the music of Irving Berlin, and Rodgers & Hammerstein. In a result of successful attack on this company we have captured a lot of data: private contracts, agreements, all financial documentation, projects, e-mail correspondence and much more. In a case if this company won't get in touch all data which we have will be accessible for download in a week."
MOLNAR&PARTNER,http://https//www.molnar-bischof.de/,"JAN 8, 2024",40402,15 photos,327914 files,59.00 GB,All data of this company will be available for download on 15.01.2024
CORINTH COCA-COLA BOTTLING WORKS,http://corinthcoke.com/,"DEC 30, 2023",43195,7 photos,141592 files,183.00 GB,"Corinth Coca-Cola Bottling Works Grocery Retail · Mississippi, United States · 109 Employees About Corinth Coca-Cola Bottling Works Inc.: Corinth Coca-Cola Bottling Works, Inc. is a privately held, family-owned Coca-Cola bottling and distribution company. Founded by Avon Kenneth Weaver in 1907 in Corinth, Miss. Weaver descendants continue to own and operat. We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published."
EPS.RS,http://eps.rs/,"DEC 24, 2023",47937,24 photos,133978 files,212.00 GB,The first part is available for download. The second will be available for download on January 27
CMS COMMUNICATIONS,http://www.cmsc.com/,"DEC 4, 2023",105886,19 photos,0 files,0.00 GB,"CMS Solutions, founded in 1985, is a communications solutions provider. It offers new and refurbished voice, data, mobile products, advanced IP telephone systems and technical support. CMS Solutions serves a wide range of organizations from medium-sized businesses. In the course of a successful attack on this company, we seized more than 500 gigabytes of data. Private contracts, agreements, all financial documentation. Email correspondence and much more. In case this company does not get in touch. All the dates we have will be available for download in a week."
GREAT LAKES TECHNOLOGIES,http://www.greatlakestech.net/,"DEC 4, 2023",103953,16 photos,0 files,0.00 GB,"Great Lakes Technologies & Manufacturing LLC promotes a culture of innovation and is committed to eliminating waste, costly duplication of efforts and production start-up problems for our customers. We accomplish this by providing proprietary technologies. 200gb data The entire date will be in public in a week."
NEUROLOGY CENTER OF NEVADA,http://neurocnv.com/,"DEC 4, 2023",99952,9 photos,94567 files,198.00 GB,Neurology Center of Nevada™s medical team specializes in the diagnosis and treatment of the Nervous System and Neurological Disorders. Soon you will be able to download all the data taken from this company.
WARE MANUFACTURING,http://www.warepet.com/,"DEC 4, 2023",99310,10 photos,227627 files,194.00 GB,"Family-owned for 25 years, we make innovative, fun products that enrich the lives of pets and their people, at a great value.Soon you will be able to download all the data taken from this company."
YANFENG,http://yanfeng.com/,"NOV 27, 2023",111450,23 photos,123405 files,525.00 GB,"Yanfeng is a leading global automotive supplier, focusing on interior, exterior, seating, cockpit electronics, and passive safety, and is exploring new business actively. Yanfeng has more than 240 locations and approximately 57,000 employees worldwide. Below are screenshots confirming that we have a lot of sensitive information in our possession Which will be released in the coming days."
EPSTEIN LAW,http://epsteinlawcorp.com/,"NOV 14, 2023",131470,0 photos,0 files,0.00 GB,"Established in 1958, Epstein Law serves clients throughout the Greater Vancouver Area. Led by Mark Epstein, we have a reputation for providing quality and professional legal services Soon you will be able to download all the data taken from this company."
HAESUNG DS CO LTD,http://haesungds.com/,"NOV 14, 2023",129699,6 photos,341893 files,393.00 GB,Haesung DS has been a global leader in the semiconductor market since its establishment. Our business consists of lead frame and PKG substrates. Also most of our products are exported to global semiconductor customers. Company data will be made available for download below! Password for zip: P@ssw0rd!
UNIQUE-RELATIONS.AT,http://unique-relations.at/,"NOV 5, 2023",150949,5 photos,46541 file,54.00 GB,We will publish data on next week
ASSURIUS.BE,http://assurius.be/,"NOV 5, 2023",151569,6 photos,0 files,0.00 GB,Coming soon...
SG WORLD,http://sgworld.com/,"OCT 26, 2023",169965,0 photos,9 files,63.00 GB,Company data will be made available for download below
CARDIOVASCULAR CONSULTANTS LTD,http://cvcheart.com/,"OCT 25, 2023",172136,0 photos,520961 file,206.00 GB,You can download all personal data of clients and employees of this company below
"PAUL-ALEXANDRE DOÏCESCO, NOTAIRES ASSOCIÉS",http://notairedoicesco.be/,"OCT 25, 2023",164321,10 photos,0 files,0.00 GB,The company has chosen to ignore us means its data will be open and available for download below.
DITRONICS FINANCIAL SERVICES,http://ditronics.com/,"OCT 4, 2023",159795,39 photos,506068 files,412.00 GB,"""DiTRONICS continues to define the future of funds access with a fully integrated suite of products and services that includes ATMs, Ticket Redemption Kiosks, Check Guarantee Software, Cash Advance Software, and now offers a Title 31 compliance solution."" Our team will soon begin publishing drawings of ATMs and other devices of this company. Money laundering methods and many non-disclosure agreements."
SIAMESE ASSET,http://siameseasset.co.th/,"SEP 26, 2023",208232,19 photos,110298 files,249.00 GB,In the near future we will be publishing more data related to very interesting money laundering schemes. The state should be interested in what these guys are doing :) password: fbhdfkbkhb223SS
CORTEL TECHNOLOGIES,http://cortel.com/,"SEP 11, 2023",225678,0 photos,64583 files,71.00 GB,Cortel is a cloud technology vendor that partners with businesses to deploy phone systems that connect customers to businesses. Below you can see a small part of the data which were taken from the servers of this company.
WACOAL,http://wacoal-america.com/,"SEP 8, 2023",218999,0 photos,23870 files,75.00 GB,"Wacoal America is an apparel & fashion company specializing in lingerie and intimate wear. In the near future, we will publish a large leak from the network of this company. Including all customer data."
GYP NEW TREE SA,http://newtree.com.ar/,"AUG 28, 2023",234196,0 photos,27481 file,58.00 GB,"GYP NEW TREE SA is a wholesale importer operating in the market since 1998, marketing brands that are synonymous with excellence and innovation. We integrate the value chain of these brands, either with local assembly of PCs and AIOs, or with technical and after-sales service. Password: m/er7gd2323"
THONBURI ENERGY STORAGE SYSTEMS (TESM),http://mercedes-benz.co.th/,"AUG 7, 2023",278146,5 photos,79986 files,152.00 GB,The company has decided not to contact our team in any way so we are starting a large publication of various documents At the moment you can read the screenshots below The first part of the files is provided below password: passwordtesm
"BETTER SYSTEM CO.,LTD",http://www.bettersystem.co.th/,"JUL 12, 2023",286460,0 photos,0 files,0.00 GB,Some of the data taken from the servers of this company can be found below
MICROPORT SCIENTIFIC / LIVANOVA,http://microport.com/,"JUL 11, 2023",271009,5 photos,0 files,0.00 GB,"Our team has prepared a big announcement for the public to check out some interesting files of this company. In addition to developments ( 1 ). We will publish terabytes of various data from European and Chinese servers. To start with, we will publish financial information that does not pose a big threat to the company's credibility. There will be more to come. We are in the process of adding sample files to this blog. If the company does not respond to this incident, we will start posting dozens of similar archives. Archive password: passwordcrm"
ASIC SOLUCIONES,http://https//asicamericas.com/,"JUL 4, 2023",245275,0 photos,0 files,0.00 GB,Data leak will be published next wednesday (2023-07-12)
DAIWA HOUSE INDUSTRY CO.,http://medexs.com/,"JUN 22, 2023",251230,3 photos,429008 files,734.00 GB,"Daiwa House Industry Co., Ltd. is Japan's largest homebuilder, specializing in prefabricated houses. The company is also engaged in the construction of factories, shopping centers, health care facilities, the management and operation of resort hotels, golf courses and fitness clubs. One of the biggest leaks in recent memory. These guys didn't believe us that we had that much data taken from their servers. Hopefully now they'll be convinced of that. The company decided to ignore the huge data leak. So you can see some of what we got from their servers."
PRINTMARKSOLUTION,http://printmarksolution.com/,"JUN 9, 2023",246816,6 photos,5185 files,19.00 GB,"Distributor of production date, expiry date, barcode, lot number, quality products imported from Europe by a team of professionals with more than 15 years of experience in industrial printing. we are committed to providing quality service, attentive and responsible to customers to ensure the highest satisfaction of our customers."
IECM COMPANY LIMITED,http://https//www.iecm.co.th,"JUN 9, 2023",249039,8 photos,15087 files,9.00 GB,"iECM Company Limited is one of the leading firm of Engineering and Consultancy Services in Thailand. Our company is proud of its successful record of the achievements, which bring its stock of experience, know-how, capabilities to bear when finding solutions for demanding engineering tasks. We are assure our quality of services in the high standard accordings to Quality Management System, certified by BVQI"
DEL BONO HOTEL,http://https//delbonohotels.com,"JUN 9, 2023",233293,0 photos,5096 files,67.00 GB,"Del Bono Hotels, the most important chain of hotels with function rooms for events, in San Juan Argentina. The data taken from the company's servers is shown below."
ASZ GMBH & CO,http://asz-gmbh.de/,"JUN 8, 2023",213101,7 photos,96251 file,116.00 GB,"The object of the company is the acquisition and management of shareholdings in service companies on the basis of the Occupational Safety Act and the Occupational Safety Act, as well as the assumption of personal liability and management in these, in particular the participation as a personally liable managing partner in ASZ GmbH & Co KG in Ahlen, the object of which is the provision of services in accordance with the Occupational Safety Act."
"CLARITY WATER TECHNOLOGIES, LLC",http://https//claritywatertech.com,"JUN 7, 2023",219833,0 photos,66745 files,83.00 GB,"Clarity Water Technologies specializes in comprehensive industrial and commercial water treatment that includes expert consulting and cutting-edge chemistry, as well as a full service team to support facility needs . Some of the data taken from their servers are listed below."
AWM GLOBAL ADVISORS,http://https//awmga.com/,"JUN 7, 2023",206104,0 photos,17076 files,10.00 GB,AWM offers security backed loans and margin account lending at very competitive rates. You'll soon see for yourself how much these guys care about the privacy of their customers and employees.
ASCENTIA GROUP PTY LTD,http://https//ascentia.us,"JUN 4, 2023",210227,0 photos,85409 files,137.00 GB,"Ascentia is a independent Civil Engineering Contracting company that services the Defence, Civil Infrastructure Construction and the Oil & Gas Industries. The data taken from the company's servers is shown below."
"CONLEY & WIRICK, P.A.",http://https//conleywirick.com,"JUN 4, 2023",207499,0 photos,30048 files,59.00 GB,"Conley & Wirick, P.A. has served the communities of Bath and Midcoast Maine for more than forty years, and today our attorneys are still committed to serving the people of our community and solving their problems. Lawyers always like to throw around pretty words and lie about how they ensure the privacy of their clients. Let's see it in practice."
OPPIDA ESTATES LIMITED,http://https//oppida.com/,"MAY 22, 2023",211889,0 photos,9624 files,16.00 GB,Oppida is a real estate agency that provides a wide range of modern spaces and apartment complexes for rent and sale. The data of ordinary and wealthy (very) customers you will be able to observe in the very near future. By the way personal data and exact addresses can be used in different ways).
SMDEA,http://https//smdea09.fr/,"MAY 22, 2023",192483,0 photos,5008 files,5.00 GB,"The SMDEA, a public operator, is an intermunicipal cooperation tool specializing in the areas of water and sanitation; domestic cycle and large cycle. The company decided to ignore the gigabytes of data taken from their servers. pass for archive: LKJSGHUJSVUI87nHJ7655^&$%&Guy54 That's why you'll soon see some of it in the public domain"
KANNANGARA THOMSON,http://https//www.ktlaw.co.nz/,"MAY 19, 2023",180738,0 photos,7 files,68.00 GB,"Christchurch Lawyers, Kannangara Thomson provides advice on the law and a full range of legal services including family law, employment law and conveyancing Some of this company's data will be uploaded shortly. All the personal data of their employees as well as a large amount of information on their customers."
MAIER SANITÄR-TECHNIK GMBH,http://https//www.maier-sanitaer.de,"MAY 19, 2023",156282,0 photos,21074 files,33.00 GB,"Maier sanitary technology GmbH is mentioned in public sources in the context of the following products and services. Customer service, hall construction and heating technology are the most common. Some of this company's data will be uploaded shortly. All the personal data of their employees as well as a large amount of information on their customers."
HECTOR MARTINEZ SOSA Y CIA SA,http://https//hmsosa.com,"MAY 19, 2023",156466,0 photos,22887 files,63.00 GB,"HMSOSA is a group of companies in the insurance industry, responding to all the needs of individuals, companies and organizations, public and private. We have our own offices in CABA, Rio Grande, Ushuaia, Rio Gallegos, Vicente Lopez and Mar del Plata, as well as associated offices in Puerto Madryn and Rawson. In the coming days, we will see how this company cares about the data of its customers. If they are not interested in communicating with us, then they will communicate with clients in court, because we have a lot of interesting documents."
EYEDOCS OTTAWA,http://https//eyedocsottawa.com,"MAY 4, 2023",156128,0 photos,57908 files,12.00 GB,"The company has decided not to care about its customers' data. Therefore, we are forced to publish their data. You can download the first part at the link below pass for archive: ys5YHSpkbp;sYT5&^%,FPERLHP"
"GROPPER & NEJAT, PLLC",http://https//www.groppernejat.com/,"MAY 3, 2023",148709,0 photos,18569 files,16.00 GB,Another company that decided it was a good idea to ignore our team. We will now post their customer data in pieces. Pass for archive: moR~?HHJ%IqTymMH7XHv$o7fi
SIIX CORPORATION,http://https//www.siix.co.jp,"APR 30, 2023",126396,0 photos,1 file,29.00 GB,We warned this company about the imminent publication. They decided to hide and forget about this kind of leak. We publish some of the data leaked from their servers.
SIPPEX,http://https//www.sippex.com,"APR 12, 2023",133386,11 photos,21791 file,171.00 GB,Another company that does not care about the data of its employees and customers at all. Publishing another leak. Let's add some data taken from them. So that people understand who they are working with and who they are giving their data to in the hope that it will be secure.
ATTENT ZORG EN BEHANDELING,http://https//www.attentzorgenbehandeling.nl/,"MAR 1, 2023",181170,6 photos,0 files,0.00 GB,"Dear friends decided to deceive us and their customers, saying that everything works fine for them and there were no serious leaks in the network. https://www.attentzorgenbehandeling.nl/nieuws/update-ongeautoriseerde-toegang-it-systemen We won't tell anyone that they haven't fixed a vulnerability in their network yet :) And our team will continue to download files from there, in addition to the already downloaded several hundred gigabytes"
FSMSOLICITORS.CO.UK,http://https//fsmsolicitors.co.uk/,"FEB 24, 2023",179076,0 photos,0 files,0.00 GB,"DB Backups: FSM_backup Isokon2_backup Isokon2CGT_backup Partner_backup PartnerTCDatabase_backup TCDatabase_backup Dept_data - internal data including accounts, commercial information, ligitation etc. Isocon documents Client's data including passports, driving licenses, medical information etc. A lot of scans 2022-2023 with different information Some docs including various agreements, statements and other documentation between the company and customers"
GIGATRON.RS,http://https//gigatron.rs/,"FEB 20, 2023",184070,0 photos,0 files,0.00 GB,"Gigatron downloaded data overview: From 172.31.244.50: DB backups of shops: G1-G69, G88, G89 From 172.31.248.10: DB backups: CTRetail_backup CTRetailWSRepl_backup GigatronWMS_Sync_backup From 192.168.2.144: employee disability sheets (3154 files) github backups CTG Platne liste (56k pdf-files) From 192.168.2.24: MSSQL_BackUp_ImportantDB: CTRetail_Arhiva_2013_backup CTRetail_Arhiva_2015_backup CTRetail_Arhiva_2017_backup CTRetail_Arhiva_2018_backup CTRetailWSRepl_backup GigaSoft_Halo_backup GigatronWMS_Sync_backup total amount of downloaded data: 171 Gb"
EMTELCO,http://emtelco.com.co/,"NOV 9, 2022",258117,6 photos,0 files,0.00 GB,"EMTELCO SA is a company that operates in the Outsourcing/Offshoring industry. It employs 101-250 people and has $25M-$50M of revenue. We also have several hundred gigabytes of data. Data of all large clients (corporate), non-disclosure documents and a lot of interesting things. We will post examples until someone decides to buy such information from us."
LOJAS TORRA,http://lojastorra.com.br/,"NOV 9, 2022",256380,6 photos,0 files,0.00 GB,Lojas Torra is a fashion retailer that provides fashion accessories and products. We have all the data of customers and employees and we are ready to share them with you...
CONTEMPO CARD,http://contempocard.com/,"NOV 9, 2022",256154,0 photos,0 files,0.00 GB,"Vark Sr worked with his father in the jewelry manufacturing business in Rhode Island. In the 80’s, Providence, RI was the jewelry capital of the world, and everyone wanted a piece of the jewelry pie. Vark Sr noticed something odd: while there were hundreds upon hundreds of jewelry manufacturers, there was only one jewelry packaging supplier. Our team received interesting information from the servers of this company, we will share it with you"
ROBERT BERNARD,http://robertbernard.com/,"NOV 9, 2022",250479,6 photos,0 files,0.00 GB,"Since its founding in 1950, Robert Bernard Pneus et Mécanique has become one of the largest tire retailers in Quebec. Thanks to our solid distribution network, we are able to serve our customers throughout Quebec. It's time to showcase what our team was able to find on this company's servers. Spoiler: they don't care about the safety of their customers and employees."
DIALOG INFORMATION TECHNOLOGY,http://dialog.com.au/,"NOV 6, 2022",251452,6 photos,0 files,0.00 GB,"Dialog Information Technology is one of Australia's leading technology services organisations trading nationally from offices in Brisbane, Sydney, Canberra, Melbourne, Adelaide, Perth and Darwin. Established in 1979, Dialog employs over 1,200 information technology specialists"
