Company Name,Company URL,Date Victimsed,Status,View Count,Photo Count,File Count,Data Size (GB),Ransom Blog Content,Financial Data,PII,Customer and Client Data,Employee and HR data,Legal Documents,Intellectual Property and Trade Secrets,Databases,Sensitive Communication,Healthcare Data,Utility and Infrastructure Data,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
ON365.CO.UK,http:// www.on365.co.uk,"JUL 18, 2024",Up,3160,7,32158,20,"on365 has been driving down costs, improving power and cooling efficiencies and managing risk since 1984. We provide expertise, support and the technical services to help prepare, design, acquire, install, maintain, optimise and upgrade your mission critical equipment assets in server rooms, edge closets, branch offices and datacentres, across the physical infrastructure. We’re Schneider Electric’s biggest service partner with the highest partner accreditations for their products, solutions, and services providing full quality assurance for your entire infrastructure.",No,Yes,No,No,No,Yes,No,Yes,No,Yes,"on365 is a specialist provider of critical physical IT infrastructure and utility services for public sector, SME and corporate clients across the UK and Europe. on365 is a leading authorised Schneider Electric partner in the UK with the highest partner accreditations available.

We're Schneider Electric's biggest service partner with the highest partner accreditations for their products, solutions and services providing full quality assurance for your entire infrastructure.

on365 is totally focused on performance optimisation of the IT environment, providing critical power and cooling services not just for the datacentre but the entire critical physical infrastructure lifecycle of your business.

At on365 we understand the real needs of IT Managers and the true criticality of your IT, networking and communications deliverables as well as operational expectations. We can provide sound, practical advice to help you proactively and efficiently manage across the physical infrastructure right through to chosen IT hardware.","Loughborough, Leicestershire",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eon365%2Eco%2Euk%2F&urlhash=Lsub&trk=about_website,IT Services and IT Consulting,11-50 employees,"UPS Power, InRow Cooling, Hot Aisle Containment, Cold Aisle Containment, Containerised Datacentres, ISX Central, Data Centre Infrastructure, Generators, Cooling, Schneider Electric Elite Partner, Schneider Electric EcoXpert, Schneider Electric Authorised Service Associate, Schneider Electric Authorised Software Partner, Critical Physical Infrastructure, IT Critical Power and Cooling, Secure power and power infrastructure, and Data Centre Solutions",Privately Held,588
ZSZAALEJI.CZ,http://www.zszaaleji.cz/,"JUL 17, 2024",Up,21260,15,20846,197,"The history of the school began on September 1, 1975. Currently, the school provides education to more than 500 students in a modern, barrier-free and stimulating environment. Since 2014, classes with an educational approach according to Maria Montessori have been part of the school.",Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,null,null,null,null,null,null,null,null,null
PREFEITURA DO JABOATÃO DOS GUARARAPES,http://www.jaboatao.pe.gov.br/,"JUL 16, 2024",Up,3049,17,1059347,1380,"Prefeitura Municipal do Jaboatão dos Guararapes operates in the Government Administration industry. It employs 1000+ people and has Revenue: $208 Million. We downloaded more than 500GB of data, pay attention on screenshots.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,"Jaboatão dos Guararapes é um município brasileiro do estado de Pernambuco, Região Nordeste do país. Está localizado na Região Metropolitana do Recife, situando-se a sul da capital do estado, da qual dista cerca de 18 km. Ocupa uma área de 258,7 km², estando 23,6 km² formando o perímetro urbano e os 233,7 km² restantes formando a zona rural do município. Segundo estimativa do Instituto Brasileiro de Geografia e Estatística (IBGE), em 2018 sua população era de 697 636 habitantes, sendo, desta forma, o segundo município mais populoso do estado,além disso, a cidade é o maior município sem ser capital no norte-nordeste, sendo também, maior fora do eixo Rio-São Paulo. (Fonte: Wikipédia)","Jaboatão dos Guararapes, Pernambuco",Brasil,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fjaboatao%2Epe%2Egov%2Ebr%2F&urlhash=4m_9&trk=about_website,Government Administration,"10,001+ employees",null,Government Agency,2077
KMLG,http://www.kmlg.com/,"JUL 15, 2024",Up,15729,9,150287,145,"Established in 1953, Kohinoor Textile Mills (KTML) is a textile manufacturing company headquartered in Punjab, Pakistan.",Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,"Welcome to Kohinoor Textile Mills Limited (KTML), where tradition meets innovation to shape the future of textiles in Pakistan and beyond. Since our inception in 1953, KTML has been at the forefront of the industry, pioneering new standards of excellence and sustainability. It is also listed on all three national stock exchanges of Pakistan.

From our roots as a spinning and weaving project with 25,000 spindles and 600 looms, KTML has evolved into a fully integrated textile powerhouse, with state-of-the-art capabilities spanning spinning, weaving, dyeing, printing, and stitching; enabling us to produce a wide range of products, including yarn, greige fabric, dyed and printed fabric, and home textile products such as bed linen, quilting, embroidery, and curtains. Our commitment to quality and innovation has enabled us to build a diverse customer base, serving both local and international markets across Asia, Europe, the USA, and Australia.

The Kohinoor Maple Leaf Group (KMLG) was formed following the division of the Saigol Group of Companies and has grown to be a prominent player in Pakistan's textile and cement industries. KMLG includes Kohinoor Textile Mills Limited (KTML),  Maple Leaf Cement Factory Limited (MLCF), and Maple Leaf Capital.

At KTML, we believe in fostering a culture of continuous learning and development, empowering our employees to realize their full potential and drive innovation across our operations. With a focus on environmental stewardship, community engagement, and ethical business practices, we are dedicated to creating value for all our stakeholders while shaping a brighter, more sustainable future for generations to come. 

Kohinoor Textile Mills Limited is dedicatedly committed to upholding the highest standards of excellence, innovation, and corporate responsibility, we invite you to join us on LinkedIn as we continue our journey towards a future shaped by innovation, sustainability, and enduring success.","Rawalpindi, Punjab",India,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ekmlg%2Ecom&urlhash=PSbg&trk=about_website,Textile Manufacturing,"5,001-10,000 employees",null,Public Company,50910
EPS.RS,http://www.eps.rs/,"JUL 5, 2024",Up,23070,0,133978,212,"Joint Stock Company Elektroprivreda Srbije is the largest company in Serbia, representing economic and energy backbone of the country. Main activities of EPS JSC are electricity generation, supply, distribution and trading.",No,No,Yes,No,No,No,Yes,No,No,Yes,"Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",null,Serbia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeps%2Ers&urlhash=5G_C&trk=about_website, Utilities,10000,null,,5000
EASCHANGESYSTEMS,http://www.easchangesystems.com/,"JUL 5, 2024",Up,22688,0,490184,331,"AS develops, produces and sells components and turnkey systems for quick tool changes on plastic injection molding machines as well as on presses, stamping and die casting machines. We supply components as well as full and semi-automatic systems for injection molding machines of all ages, sizes and manufacturers. From globally known brands to local machines, with clamping forces varying from 500 kN to 55,000 kN.",No,No,No,No,Yes,No,Yes,No,No,No,"We help you produce just-in-time with higher speed and more flexibility. 
Thanks to EAS change systems, the clamping and release of molds and dies is done in minutes instead of hours. Our high quality mono- and multi couplers serve a diversity of branches.

EAS offers quick clamping and quick changing systems for plastic injection molding machines (QMC) and metal stamping presses (QDC), as well as multi coupler solutions. The company also offers consulting and engineering expertise to ensure maximum machine productivity. 
Designed and built for integration into existing as well as new equipment (OEM), our solutions include:
• Adaptive clamping systems
• Ejector couplers
• Mono & multi coupler systems
• Mold change tables & transportation vehicles
• Inspection & mold tilting units
• Die lifters
• Pre-rollers
• Project management
• Application engineering
• System installation
• Service and maintenance
• ROI calculations
 
The system solutions of EAS are sold directly to original equipment manufacturers (OEMs), specialized tool distributors, and end users. 

Our manufacturing, engineering and research & development operations are located in the Netherlands, France and China. Being a truly global enterprise, the company has a large sales and service presence on every continent thanks to dedicated partner companies and their local distributors.",Renswoude,Nederland,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeaschangesystems%2Ecom&urlhash=8_lG&trk=about_website,Automation Machinery Manufacturing,51-200 employees,"total solutions in QMC and QDC, hydraulic and mechanical clamping systems, magnetic clamping systems, multicouplers, die handling systems, mold change tables and cars, QMC, QDC, and Tool change",Privately Held,1000
THE WACKS LAW GROUP,"http://www,wackslaw.net/","JUL 5, 2024",Up,22832,0,5727,17,"The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients’ issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York. Our extensive knowledge of the law coupled with our understanding of our clients’ needs has earned us an outstanding reputation. We provide clients with individual attention, reasonable fees for services and form solid relationships.We have a lot of data from this company in our hands. In the event that we do not come to an agreement, all data of the company and its customers will be published. SOON SOON ! YOU WILL KNOW EVERYTHING!",No,No,Yes,No,No,No,Yes,No,No,No,The Wacks Law Group is a New Jersey-based law firm of dedicated attorneys who address clients� issues with a deeply personal yet professional commitment. Our law firm serves clients throughout New Jersey and New York.�,New York,United States,https://wackslaw.net,Law Practice,null,null,null,null
MACCARINELLI.IT,http://www.maccarinelli.it/,"JUL 5, 2024",Up,22249,0,41357,33,"Maccarinelli Srl is a company that operates in the Architecture & Planning industry. It employs 6-10 people and has $1M-$5M of revenue. The companyis headquartered in Paitone, Lombardy, Italy.",Yes,No,No,Yes,No,No,No,No,No,Yes,Maccarinelli Srl is a company that operates in the Motor Vehicles industry.,"Paitone, Lombardy",Italy,https://www.maccarinelli.it/,Manufacturing,null,null,null,null
CASA SANTIVERI,http://www.santiveri.com/,"JUL 5, 2024",Up,21894,0,420207,204,We are a fifth generation family business that began its journey at the end of the 19th century. We were pioneers in the natural food trade in Spain and contributed to the penetration and spread of European vegetarianism in Spain. About 300 GB of confidential data was downloaded.,No,No,No,Yes,No,No,No,Yes,No,No,"En Santiveri llevamos desde 1885 apostando por promover una sociedad donde las personas se sientan mejor. Estos más de 135 años de experiencia nos han ayudado a ofrecer soluciones saludables e innovadoras al alcance de todos.

En estos años han cambiado muchas cosas, pero hay una que se mantiene: queremos ayudarte a que te sientas bien. Fieles a nuestro espíritu pionero, nos hemos renovado y adaptado para acercarnos todavía más a ti y a tus necesidades.

Y lo hemos hecho con valentía, reinventándonos siempre que ha sido necesario; con compromiso, seleccionando ingredientes y materias primas de la mejor calidad; con cuidado, sensibles a la diversidad de cualquier tipo; y con una visión holística, promoviendo un bienestar integral y una manera más sana de vivir.

En la actualidad, Santiveri  tiene:
● 3 centros de producción: Barcelona, Lérida y Peñafiel (Valladolid).
● 141 puntos de venta directos
● Una distribución que llega a unos 7.000 puntos de venta ( 5.700  directos y 1.300 puntos de venta que servimos directamente a plataforma de distribución a supermercados)
● Una lista de productos cercana a las 1.000 referencias 
● Dos filiales en Italia y México 
● Una exportación que alcanza a más de 40 países.
● Una plantilla cercana a los 400 empleados.",Barcelona,España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esantiveri%2Ees&urlhash=_mOT&trk=about_website,Wellness and Fitness Services,201-500 employees,"Alimentación sana, Productos biológicos, Complementos dietéticos, Cosmética natural, Productos Sin Gluten, and Bienestar natural",Privately Held,null
ETATEAM.BE,http://www.etateam.be/,"JUL 5, 2024",Up,21238,0,57717,15,European Team is an accountant in Brussels in the province of Province of Brussels in the Brussels-Capital region. The firm is established at Rue Joseph Druez 182. European Team and created on 03-02-1986. European Team is known under company number 428490273. The legal form of the company is SPRL. The firm on rue Rue Joseph Druez has 1 to 4 employees. At the bottom of this page you will find more data about this firm.,No,No,No,Yes,Yes,No,No,Yes,No,No,null,null,null,null,null,null,null,null,null
FELDA GLOBAL VENTURES HOLDINGS BERHAD,http://www.feldaglobal.com/,"JUL 5, 2024",Up,21679,0,226106,291,"Founded in 2007 and headquartered in Kuala Lumpur, Malaysia, Felda Global Ventures Holdings Berhad, or FGV, is a holding company that has interestsin global agriculture such as soybean and canola products, palm oil, sugar products, and others.In a result of successful attack on this company we have captured a lot of data: private contracts, agreements, all financial documentation, projects, e-mail correspondence and much more. In a case if this company won't get in touch all data which we have will be accessible for download in a week.",Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,"FGV Holdings Berhad is based in Malaysia and is one of the country’s leading globally-integrated, diversified agri-business that focuses on the whole supply chain of palm oil, sugar manufacturing and downstream activities in oils & fats and oleo-chemicals. We operate in more than 10 countries across Asia, the Middle East, North America, and Europe.
 
Incorporated in Malaysia as a private limited company 2007, FGV initially operated as the commercial arm of Federal Land Development Authority (FELDA). On 28 June 2012, the company was listed on the main market of Bursa Malaysia Securities Berhad as Felda Global Ventures Holdings Berhad.  
 
FGV operates on 439,725 ha of landbank  in Malaysia and Indonesia. FGV produces around 3 million MT Crude Palm Oil (CPO), processing over 13 million MT fruits including from Felda smallholders and third party estates.  
 
Our focus spans three core business sectors: Plantation Sector, Logistics & Support Business (LSB) Sector and Sugar Sector. With more than 45,000 strong workfore including field workers, FGV aspires to be one of the world's leading agri-business companies while continuously drive a sustainable business and deliver value to our shareholders.


© FGV Holdings Berhad (800165-P/200701042133). All rights reserved","Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Malaysia,http://www.fgvholdings.com/,Food and Beverage Manufacturing,"10,001+ employees","agribusiness, plantation, palm oil, and downstream",,104194
MADERO,http://www.madero.ca/,"JUL 5, 2024",Up,20996,0,213579,350,"Madero is a leading manufacturer and distributor of residential and commercial doors and hardware, from Western Ontario to British Columbia.",No,No,No,No,No,No,No,No,No,No,"For more than 35 years Maderó has been a leading company in the sector of bathroom furniture.
The company’s aim has always been the design and the search for the latest trends in decoration an interior design.
Offering a wide range of collections which use a variety of materials: veneers, solid wood, lacquered MDF, glass, steel… 
Maderó use latest generation fittings and elements and selects the best suppliers from around the world. 
Madero’s products are sold through specialized distributors who are carefully chosen. Our network of representatives, with a presence in the main geographical areas, guarantees a full quality service.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emadero%2Ees&urlhash=oW1c&trk=about_website,Furniture and Home Furnishings Manufacturing,51-200 employees,null,Privately Held,109
BIG ISSUE GROUP,http://www.bigissue.com/,"JUL 5, 2024",Up,20763,0,956277,530,"UPGRADE! Soon we will start exhibiting the most interesting things and open our eyes to everything that Big Issue Group actually does. Soon you will all support our position. Follow the news. A company that wants to hide the fact of hacking and leakage of personal data. About 550 GB of confidential data was downloaded. - Personnel (copies of documents, personal data, etc.) - Contracts (all reports, partner data, etc.) - Finance (reports, transactions, income, etc.) - BigissueInvest (financial transactions, partners, contracts, etc.) - Private & Confidential and much more.",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,"From an award-winning magazine offering employment opportunities to people in poverty, to a multi-million pound social investment business supporting enterprise to drive social change. For over 25 years The Big Issue Group has strived to dismantle poverty through creating opportunity, in the process becoming one of the most recognised and trusted brands in the UK.","London, Greater London",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Ebigissue%2Ecom&urlhash=Ebsv&trk=about_website,Book and Periodical Publishing,51-200 employees,"Social enterprise, Publishing, Social investment, Fundraising, and Brokerage services",,10000
WATERGATE,http://www.thewatergatehotel.com/,"JUL 5, 2024",Up,20753,0,378376,289,"The Watergate Hotel's flowing avant-garde architecture was designed by Luigi Moretti to emulate the mighty Potomac. Its stunning Ron Arad-designedinterior lives up to the building's original elegance. The Watergate Hotel takes classic elegance, bold mid-century modern design and adds all the extravagance and warmth of contemporary luxury. This one-of-a-kind hotel pays tribute to its own storied past alongside inventive outlets such as the Kingbird restaurant and The Next Whisky Bar.",No,No,Yes,No,No,No,No,No,No,No,"Ending the era of dumb water.
Watergate is a water tech company dedicated to combating water leaks and promoting conservation. Our innovative solution helps property owners, building managers, and insurers protect assets and mitigate the impacts of water-related damage.","London, London",United States,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwatergate%2Eai%2F&urlhash=88bB&trk=about_website,Climate Technology Product Manufacturing,11-50 employees,null,Privately Held,1251
MCS,http://www.mitchellcountychamber.org/,"JUL 5, 2024",Up,20174,0,105855,53,"The mission of the Mitchell County Chamber of Commerce is to support business and promote community. The Chamber is made up of hundreds of businesses, industries and individual members whose goal is to promote Mitchell County, the surrounding region and its economy. The Chamber operates two locations in Mitchell County. The Mitchell County Visitor's Center is located in the Museum of N.C. Minerals, just off the Blue Ridge Parkway. The Visitor's Center greets tens of thousands of visitors each year and provides them with information about the county.",No,No,Yes,No,No,No,No,No,No,No,null,null,null,null,null,null,null,null,null
DR CHARLES A EVANS,http://www.charlesevansmd.com/,"JUL 5, 2024",Up,19722,0,9435,3,"Dr. Charles Evans, MD. We are focusing on preventative medicine, healthy lifestyle, and healthy living. Nutrition, exercise, and weight loss are part of this overall goal.",No,No,Yes,No,No,No,No,Yes,Yes,No,"For people who have not found answers in other places, we help navigate and find solutions for difficult and chronic health issues. Our approach utilizes cutting-edge diagnostics, long visit times, and deep and inquisitive listening, all culminating in 100% individualized patient-specific treatment plans. Additionally, this system helps empower patients to learn how to experience a lifestyle which moves them away from chronic and debilitating disease towards adaptability and vitality.","Lufkin, Texas",United States,https://www.charlesevansmd.com/#,"Health, Wellness & Fitness",null,null,null,null
JEAN-NOUVEL,http://www.jeannouvel.com/,"JUL 5, 2024",Up,12628,0,43461,314,"AJN is one of the largest architectural firms in France, with more than 40 projects underway in 13 countries and a multicultural team of more than 140 professionals. The project of the Jean Nouvel AJN, Jean-Marie Duthilleul AREP and Michel Cantal-Dupart team for the Grand Paris is Births and rebirths of a thousand and one Parisian happinesses.",No,No,No,No,No,No,No,No,No,No,"Ateliers Jean Nouvel (AJN) is a world-renowned design firm that gathers a multicultural team of 140 persons from more than twenty countries. 
AJN benefits from Jean Nouvel’s experience as the head of several practices dating back to 1970. AJN combines the disciplines of architecture, urban planning, interior design, landscape design, graphic design, and product design into a single integrated practice. 
AJN’s diverse, world spanning portfolio includes museums, concert halls, conference centers, theaters, hotels, residential buildings, office buildings, commercial centers, and private residences. ",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ejeannouvel%2Ecom&urlhash=vKmK&trk=about_website,,,,,null
THE WEINSTEIN FIRM,http://www.weinsteinwin.com/,"JUL 5, 2024",Up,12450,0,147987,89,"At The Weinstein Firm LLC, we operate on what is called a contingency fee basis. This means that you, as our client, pay no upfront fees and owe usnothing until we secure a favorable verdict or settlement on your behalf. To put it another way: You don't pay unless we win. Our contingency fee policy makes it risk-free to work with an Atlanta personal injury attorney from our office. Choose The Weinstein Firm LLC.",Yes,No,Yes,No,No,No,No,Yes,No,No,null,null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fweinsteinwin%2Ecom%2F&urlhash=3Whm&trk=about_website,Law Practice,2-10 employees,null,Partnership,null
W.P.J. MCCARTHY AND COMPANY,http://www.wpjmccarthy.com/,"JUL 5, 2024",Up,10545,0,46124,70,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits. We pride ourselves on taking care of our property and giving the best service to our Tenants. Our motto is simple: “Take care of your property and it will take care of you”.",No,No,No,Yes,Yes,No,No,No,No,No,"W.P.J. McCarthy and Company is a privately owned full service real estate firm specializing in the purchase, conception, development, leasing, and management of our own privately held commercial real estate portfolio. As Landlords, we pride ourselves on working with our Tenants, trades, and other partners, to develop and manage properties that provide the communities we work in with great services and economic benefits.","Burnaby, BC",Canada,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwpjmccarthy%2Ecom%2F&urlhash=QqUi&trk=about_website,Leasing Non-residential Real Estate,2-10 employees,null,Privately Held,30
THOLEN BUILDING TECHNOLOGY GROUP,http://www.tholen-gebaeudetechnik.de/,"JUL 5, 2024",Up,9585,0,197793,344,"We are a medium-sized building technology company and currently employ around 140 people. These are increasingly active in the Aachen, Cologne, Bonn, Düsseldorf, Duisburg and Essen areas. Of course, also beyond these limits.",No,No,Yes,No,No,No,No,No,No,Yes,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Ftholen-gruppe%2Ede&urlhash=LS1N&trk=about_website,Construction,null,null,null,null
WILLIAMSRDM.COM,http://www.williamsrdm.com/,"JUL 5, 2024",Up,9490,0,49507,104,"Williams RDM is a Fort Worth-based research, development, and manufacturing company.",No,No,No,No,No,Yes,No,No,No,No,"WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique products—all designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USA’s most respected military aircraft—the A-10, F-15, F-16, F-18,  F-22, F-35, and V-22—use WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products —StoveTop FireStop—that protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. We’ve proven you don’t have to be big to do big things, and we’d challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products we’ve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions we’ve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldn’t dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. We’ve earned our reputation: “...when others can’t or won’t... Williams will!”","Fort Worth, Texas",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewilliamsrdm%2Ecom&urlhash=vxC3&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,"Complex Electro-Mechanical Assembly with ESD Control, Build-to-Spec/Build-to-Print Electrical Panels & Enclosures, Custom Cables & Harnesses, Complex Equipment Retrofitting, 5-Axis Machining & Swiss Turning, and Engineering Hardware/Software Development",Privately Held,773
INFORIUS,http://www.inforius.be/,"JUL 5, 2024",Up,9397,0,31077,45,"Created in 2009 by Guy Wauthier and Laurent Mimmo, it now has 50 employees. With different types of profiles (developers, consultants, system and network engineers, helpdesk and administrative employees, etc.), it has extended its field of skills to develop services of all types. Thanks to the experience acquired, it now offers 3 types of service: INFORIUS consultancy, INFORIUS public authorities and INFORIUS projects.",No,No,No,No,No,No,No,No,No,No,"Consultance informatique, Audits informatiques,Missions d’expertise

Inforius dispose de spécialistes et d’experts passionnés par les nouvelles technologies qui mettent leur savoir-faire et leur expérience à votre service. A l’écoute de vos besoins, ils analyseront en détail vos attentes et vous aideront à choisir le produit qui répond réellement à vos besoins ou vous proposeront des solutions sur mesure. Inforius se chargera également de l’implémentation des solutions informatiques, de la documentation et du suivi.

Notre consultance peut prendre différentes formes :

Audits techniques, analyse de faisabilité ou pré-études de projets ;
Conception d’une infrastructure réseau : conseil et conception du plan de déploiement ;
Conduite du projet : assistance à la maîtrise de l’ouvrage, conseil en matière de pilotage opérationnel, etc.

Inforius propose une gamme de produits à destination des administrations","Isnes, Région wallonne",België / Belgique / Belgien,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Einforius%2Ebe%2F&urlhash=d_Jr&trk=about_website,Information Technology & Services,11-50 employees,null,Privately Held,1113
INTUITAE,http://www.intuitae.com/,"JUL 5, 2024",Up,9093,0,50664,40,"Intuitae is one of the preeminent family office firms in Europe with bureaus in Paris, Geneva and Luxembourg. We assist more than 50 families whosefortune is at least 20 million Euros, advising them how to preserve their wealth and pass it on to future generations. We provide a comprehensive range of family office services: advice on financial investments, real estate and non-listed companies; support on legal and tax matters; assistance on administrative issues and budget; family governance and philanthropy. Intuitae is a team of 20 personnel directed by 4 partners and complemented by an active network of more than 80 professionals: lawyers, tax specialists, notary publics, etc.",No,No,Yes,No,No,No,No,No,No,No,"Depuis 2001, nous conseillons les familles fortunées soucieuses de pérenniser leur patrimoine et de le transmettre aux générations futures.","Paris, -",France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eintuitae%2Ecom&urlhash=dzUw&trk=about_website,Financial Services,11-50 employees,"Family Office, Multi Family Office, Mono Family Office, Allocations d'actifs, Ingénierie patrimoniale, and Gouvernance familiale",Partnership,2278
MUNICIPALITÉ LA GUADELOUPE,http://www.munlaguadeloupe.qc.ca/,"JUL 5, 2024",Up,5942,0,1173,7,"Municipalité La Guadeloupe is a company that operates in the Government industry. It employs 11-20 people and has $5M-$10M of revenue. The companyis headquartered in La Guadeloupe, Quebec, Canada.",Yes,No,No,Yes,No,No,No,Yes,No,No,"La municipalité de La Guadeloupe est située dans la grande région touristique de Chaudière-Appalaches plus précisément sur le territoire de la MRC de Beauce-Sartigan. La Guadeloupe offre: un milieu industriel ou les emplois sont disponibles aux deux sexes, des services sportifs bien organisés et regroupés avec la paroisse voisine, des services de garderie, une piste cyclable asphaltée au centre du village qui suit l'ancienne voie ferrée, des services de protection incendie et de sécurité civile regroupés et bien structurés. Nous avons également deux écoles primaires, une belle pharmacie,dentisterie, optométrie, trois centres d'hébergement. Un important site récréo-touristique contribue au développement touristique de notre région avec l'ajout d'un terrain de camping, piscine extérieure et différents services dont un relais de quad et de motoneige,accueillant les utilisateurs des sentiers de motoneige 55 & 533 et de quad 418 .Choisir un milieu de vie est un investissement très important. Notre communauté a développé au cours des dernières années une vision et un positionnement stratégique qui en fait une valeur sûre... pour savoir, pour se divertir, visiter, s'établir et prospérer.","La Guadeloupe, Québec",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emunlaguadeloupe%2Eqc%2Eca&urlhash=BP-L&trk=about_website,Government Administration,11-50 employees,"Législation municipale, Loisirs et culture, Urbanisme/Infrastructure/Travaux publics, Tourisme, and Programmes incitatifs (résidentiel et commercial)",Government Agency,119
CONSULTING RADIOLOGISTS,http://www.consultingradiologists.com/,"JUL 5, 2024",Up,3550,0,94667,70,"Consulting Radiologists LTD is an independent radiology group based out of Minneapolis, providing a complete range of radiology services to the healthcare community, including outpatient imaging services. After 89 years of existence, CRL continues to remain a vibrant and independent practice, providing best-in-class radiology services with more than 75 physicians working throughout 26 on-site locations.",No,No,No,Yes,No,No,No,Yes,Yes,No,"Consulting Radiologists, Ltd. (CRL) is a physician-owned practice serving patients and providers throughout the upper Midwest for more than 90 years. We provide on-site services at more than 27 hospitals and clinics, and also provide teleradiology services to more than 60 healthcare organizations throughout the Upper Midwest.

CRL is a leader in outpatient imaging with four imaging centers. We are trusted to deliver a complete range of radiology services to the healthcare community. All CRL locations are ACR accredited.

IMAGING CENTER LOCATIONS:

CRL Women's Imaging
CRL Imaging 
Southdale Medical Building
6525 France Avenue South | Suite 110 | Edina, MN 55435
(952) 915-4320

LifeScan Minnesota
Southdale Medical Center
6545 France Avenue South | Suite 115 | Edina, MN 55435
(952) 893-1997","Edina, MN",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Econsultingradiologists%2Ecom&urlhash=jSn1&trk=about_website,Hospitals and Health Care,201-500 employees,"Breast Imaging, Chiropractic Radiology, Diagnostic Neuroradiology, Diagnostic Radiology, Interventional Neuroradiology, Interventional Radiology, Musculoskeletal Imaging, Nuclear Medicine, Pediatric Imaging, and Body Imaging",Privately Held,680
